plate,well,compound,path,C1,C2,C3,C4,C5,moa
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w19EF5CBCA-80D2-49B5-8A1E-DC9FAAEAA7C5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w2703E2006-2414-406C-ACA0-0BDC1E26E276.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w3AE71A548-4462-4A8D-B514-D21DDB20B7FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w43C68E721-56FE-4505-97BF-C3B5F79C7FAC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w5B2341037-30EA-4B7E-A295-6738E391A4B0.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w17EA5E0A6-6F53-4645-8D43-DE1B3249A6FD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w2FB82B860-B955-40E4-BF1D-23D9A88A7A96.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w3FE925127-667E-4AD4-82A0-4CF0DA0B25E6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w4DE67B424-B232-40D2-B073-E9B2B2CF6012.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w56AE4BECF-0943-4CF4-9CE8-21619BAD83E4.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w1C5B5535D-10F6-4A0B-8BAA-2DA3E79ED787.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w2677C4072-44D9-4520-852A-FA260B569AFC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w38B967BF3-C624-45DE-92F9-4711362AC8DA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w4747A02AF-16A7-4362-9555-1F6F5C0AA6C7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w5F790483B-0867-4AF6-A00A-69D9F8FD96EF.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w1242851B0-381F-46A7-913A-6AA7CDA2905F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w27787C6D9-BA21-4DA8-9E5D-67032B7AC289.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w3782EFAFD-73B6-40DA-BDC3-DB7CE886AD28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w49CEFA92E-C524-40A8-B4D2-539415150804.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w5AB06F9FA-D11C-483C-B7C7-58386C1BBEFE.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w1643001F2-233C-41CD-BA87-98ADE013CA88.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w284918004-3C84-4A20-AF25-14107B1D854B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w3A017C43A-E2F0-4F5D-9F05-3F09EA3651C5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w4BBBD6FAB-1E98-442E-AF3C-3ADBEB5A3B53.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w5F57F0648-6AEB-41CE-AFAF-5BE3EE8F8F48.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w12F98E5AE-09D7-4646-85C3-792F49124BBD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w2066D2739-D176-4D53-8CFD-DFAC102128F8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w31EE7BCED-3DAA-4168-B5B6-2A05077BB058.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w49C0A5442-6995-41B3-83F1-0D649691BC56.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w5350824D5-5962-4AB3-B737-B271C7A14213.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w19366E168-DCAF-4ACB-BFDF-0A55373A78A9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w21BE27630-FF40-4EC0-B1C7-913C7AA307FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w3E99A5D77-7CAA-4FAE-AA02-7D772B4DB7F0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w49C16B002-02CF-462C-88CB-DFE53E2D8026.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w5B03781E4-FCBA-4FCF-8C54-36C72DB6D270.tif,dmso
P015076,D17,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s9_w1AB6429C5-A4A4-4DFC-B5C1-05E5AE5138AB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s9_w2E8C6D778-7C0C-47D2-A527-F5857D57160C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s9_w3E084084E-9275-4367-AF36-3B58E71E79EB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s9_w4639475E6-A400-45D6-9A87-3B13E0CD6277.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s9_w57EB7C0F2-DF4D-4F07-8C8E-0DF1A492AF8F.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s1_w1896CBCD2-531D-44DB-8EF3-0778F1E244B1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s1_w24ED6EBB0-5ADD-4F69-9698-2E6E33CF57A7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s1_w3FB2846FE-A3C8-448D-AF68-8E26598B319D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s1_w4CE21809A-5F39-49A8-B7C8-CA901BD5D5C0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s1_w5C2E1FACF-E681-4A97-B9F5-CF45415E86E7.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s2_w1BB4C9CB6-AC48-40B6-A05A-F7C5C2D7EFE2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s2_w2DF21210A-65B5-4559-AA76-8F6D78F42E49.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s2_w38D773989-D88F-41BD-8874-3DC4D792086C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s2_w4719858ED-B7B8-449C-9366-6877E620E051.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s2_w56338729B-FBEA-4483-9E68-067CE38F935A.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s3_w1C0678449-43B8-4181-ACE0-723A3DDC41C7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s3_w2D4AC13C1-0C60-4C6E-9E02-4D97366C1362.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s3_w3BBC4C3E7-86E1-4333-857D-79C5477DD4B1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s3_w4667541C1-2EB7-4403-95AB-F7DD6DCB149D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s3_w5AECB4BAD-A78F-492C-BDDF-75B326B6981D.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s4_w129E4B2AF-1881-46F0-8B97-5E87C8704D95.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s4_w28A030F8A-7CE4-4389-A95A-F3DB3DC34E39.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s4_w3065C5AA5-C689-4E77-9EB6-0A790E8B12D5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s4_w482697181-44FF-4A6E-8A5E-6BAC01C2F714.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s4_w537C63B74-A53E-435F-AE35-621D4033E9DE.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s5_w17F43E7FE-2707-4FEA-9F2C-3CFD1207322C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s5_w29B23D282-9199-492B-8891-09BF253E4666.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s5_w340362430-A3D7-489D-9B54-8EED672B20EB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s5_w413B504BC-E706-4805-9762-0D693DB80245.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s5_w56CFD9673-9873-4133-9B6C-116A63B51DB3.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s6_w1D1A6E397-98B3-42A2-871D-193FA65599B7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s6_w2837B1481-0318-41B6-8880-4A20BA3948FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s6_w37EECB2CC-B51A-4A0D-B4FA-66A8385DDACF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s6_w4081483CD-AA70-4890-96E7-89DB820F7ED6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s6_w526DE52B3-A138-4751-B2E3-04404D33952D.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s7_w1CB24BE82-5AFC-4122-A29C-B27D6F3D911E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s7_w276C6AC3D-72FE-4D5F-9221-38F620F948F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s7_w36BF70357-686F-41CA-9679-88C36FAB484B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s7_w457A2A6A5-E692-4537-B39E-86FA1183FC05.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s7_w520114B34-9749-4341-AA1A-8EFE4D792D3D.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s8_w1DDCCB24A-B071-46A0-BF41-4D14650596D3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s8_w2D8F707D6-BEBF-4048-833F-3B16084843CB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s8_w3FB5E86B7-D08C-44BE-B7E5-E4ABE3602EC2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s8_w40C86217C-B53E-489E-A71E-E3125F6A6982.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s8_w5D672BDFC-07B4-4EC9-9510-A9F3217FE7B7.tif,dmso
P015076,F03,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s9_w10F6CE4E5-D42A-4EC2-AB4E-6D24E7963D77.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s9_w24EE5DE4B-F48E-44A0-A442-3FDDF23D26B3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s9_w30B79EA2B-BD64-4135-B6D2-2282467FE788.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s9_w477AC87F8-8DF5-41F5-A022-4D53F78B08FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_F03_s9_w5E4ABBA8C-6A28-463C-9C9B-DE160A9881E0.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s1_w11D33B6D2-3231-42F2-8885-BAE82C701E28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s1_w250F3E6EB-2C33-4393-9D21-F838666860E8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s1_w377F9B303-4993-4D6C-9916-BE70802DEE0E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s1_w4C1F313F0-BAFB-4933-A042-F4AAB3A76FA0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s1_w5CC8D00CB-F22D-4CA6-908C-9BB1667FCCE6.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s2_w13BC17981-21EE-49A3-8A9E-7897A36DF52A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s2_w234E3D67E-EC37-4F0C-A3E8-B7B99F2676FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s2_w37323AA0B-14B5-4C32-86F1-262B56992B94.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s2_w45764FCBF-5950-409E-846B-E468CD3B9709.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s2_w5E8FEB014-7D08-4594-9DFB-F16694D17716.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s3_w1D95A5F16-74F1-4DDC-A003-9177A5C53B7E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s3_w2A08A21E4-330F-4564-B6EF-8BB2ECB398D8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s3_w319E7F55B-4252-47C3-98FD-786BF0D61CDB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s3_w49C9096A3-AF87-4F45-9755-2F15923D02F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s3_w516C0BE67-9D4D-4E3E-A398-341187932A33.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s4_w14D7C4859-7B9B-4E53-9362-8FC75FA38347.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s4_w298EE9CD0-7FAD-4670-A3B2-8C17866B69E7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s4_w343281C91-9552-42A6-8782-2368C8E047C0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s4_w4FA4A3579-7CC3-4B2E-A58D-C40DBE5F00E3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s4_w501326C30-6645-4566-9522-3D3FDAC47A27.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s5_w1AAFC4EB8-4D09-4403-AC01-2226B702D212.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s5_w282F15514-13ED-4200-BFFA-0FC912EACC13.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s5_w3B9106166-F7E0-444B-B35B-2013B6B96C79.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s5_w4570349DD-D3F4-49C5-938E-FDF456CE8392.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s5_w55ABB0AE6-566F-48AA-8CDB-B46C12D96351.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s6_w1D6052A7A-49A9-4ADB-A005-C522C80DBC13.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s6_w2DAD3658B-91E8-4D63-B8BF-B392609F0A71.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s6_w3FFB8F1E6-361A-4E5D-8237-C4DCBD6AEA61.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s6_w4850E0500-EEC4-41C0-9B7C-D2532D9E8333.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s6_w5EF9123DD-D33A-41A4-830D-7635E97D529B.tif,dmso
P015076,G08,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s7_w1D668027B-63A8-4D43-9B95-C1E43DD7D97F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s7_w2AB156D0C-FF5A-48F3-BD98-AD5FEC0EE053.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s7_w3637D8BF0-6717-4BDF-BC6E-771902F82D7E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s7_w411DB3688-5EE8-40AC-9106-C656B04051AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_G08_s7_w571BBFACD-79FA-4DC1-AC11-0D72067BB83E.tif,dmso
