plate,well,site,bf_site,compound,path,moa
P015078,I16,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_I16_s4_w55BFBD448-B157-4E1D-82FE-69F252B84CF8.npy,cyclooxygenase inhibitor
P015078,I16,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_I16_s5_w537654D22-5DFC-4060-9241-828BB040DEA1.npy,cyclooxygenase inhibitor
P015078,I16,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_I16_s6_w50982E624-A673-4F85-B4CB-9C62D8296A40.npy,cyclooxygenase inhibitor
P015078,I16,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015078-U2OS-48h-P2-L1_I16_s8_w59BE8A01E-F304-4791-9529-E4DE52434B7B.npy,cyclooxygenase inhibitor
P015079,E04,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_E04_s2_w53CE7CDFB-82E7-4708-9343-7825E3BCA8D8.npy,cyclooxygenase inhibitor
P015079,E04,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_E04_s4_w5E04DDD9D-7015-4A59-AB5C-9742D8BEA73F.npy,cyclooxygenase inhibitor
P015079,E04,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_E04_s5_w57D3D12AA-6521-4FA8-A124-AFD75C300B0F.npy,cyclooxygenase inhibitor
P015079,E04,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_E04_s6_w554879CD6-EA57-41E8-A9ED-39179C24C813.npy,cyclooxygenase inhibitor
P015079,E04,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_E04_s8_w5FD3A2B12-AEF9-488D-BB2C-A0462C253D63.npy,cyclooxygenase inhibitor
P015079,H10,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_H10_s2_w5C4426ED6-8565-46D5-B612-9FF12416EFC1.npy,cyclooxygenase inhibitor
P015079,H10,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_H10_s4_w5C0BABDB4-3EA2-44D0-A30C-9DD4D753F9B6.npy,cyclooxygenase inhibitor
P015079,H10,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_H10_s5_w5A132F1C8-ED7F-479D-B507-F77BB7C8B8BF.npy,cyclooxygenase inhibitor
P015079,H10,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_H10_s6_w5BAD58C6D-2FEE-4CCC-85F9-32ADF5FBFDD2.npy,cyclooxygenase inhibitor
P015079,H10,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_H10_s8_w5A9906BE9-213A-4594-A7D7-C576B062BD3E.npy,cyclooxygenase inhibitor
P015079,M12,s2,s1,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_M12_s2_w50DC8A2E7-5F75-4A28-9F0A-DBE35FDEBB13.npy,cyclooxygenase inhibitor
P015079,M12,s4,s2,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_M12_s4_w543A6EA54-9DDC-4B32-B30F-238920B13702.npy,cyclooxygenase inhibitor
P015079,M12,s5,s3,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_M12_s5_w50330D94F-45FA-4A28-B73F-9E3CD25AF2F7.npy,cyclooxygenase inhibitor
P015079,M12,s6,s4,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_M12_s6_w584971BD4-87C8-4CBD-833B-1A154D11A2A2.npy,cyclooxygenase inhibitor
P015079,M12,s8,s5,CBK041553,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015079-U2OS-48h-P2-L2_M12_s8_w588E22B77-2C98-4A27-8911-34EEEF853108.npy,cyclooxygenase inhibitor
P015086,B02,s2,s1,CBK308929,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B02_s2_w5D6197E13-0CAB-4746-A23E-72F0E1382621.npy,CC chemokine receptor antagonist
P015086,B02,s4,s2,CBK308929,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B02_s4_w538779742-C71B-4C54-BA1F-EB2EC0264C59.npy,CC chemokine receptor antagonist
P015086,B02,s5,s3,CBK308929,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B02_s5_w5E9BFF9AE-1DB0-40F1-A18F-BDDC7D02FD7E.npy,CC chemokine receptor antagonist
P015086,B02,s6,s4,CBK308929,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B02_s6_w57EF3EC9D-3BE7-489C-9864-2B48BDC6FF1F.npy,CC chemokine receptor antagonist
P015086,B02,s8,s5,CBK308929,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B02_s8_w56C260BCF-1E92-4B42-A160-39B75CB3887D.npy,CC chemokine receptor antagonist
P015086,B03,s2,s1,CBK201274,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B03_s2_w5DEF30412-9A81-4CC0-BD9E-D0C7CE820498.npy,DNA polymerase inhibitor
P015086,B03,s4,s2,CBK201274,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B03_s4_w5A76384C0-FA06-456F-B529-B0EDDDA42391.npy,DNA polymerase inhibitor
P015086,B03,s5,s3,CBK201274,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B03_s5_w5E7B55D3B-F68D-40A3-88F0-70D9EF5A5421.npy,DNA polymerase inhibitor
P015086,B03,s6,s4,CBK201274,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B03_s6_w55E9677FD-ABB7-4088-8AE2-EA2607D76981.npy,DNA polymerase inhibitor
P015086,B03,s8,s5,CBK201274,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B03_s8_w586DB0566-628C-4077-9C5B-0FC6CABD7BDE.npy,DNA polymerase inhibitor
P015086,B05,s2,s1,CBK015987,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B05_s2_w57960EFC0-D98B-42C8-B63F-E6FB7DBE64F1.npy,cyclooxygenase inhibitor
P015086,B05,s4,s2,CBK015987,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B05_s4_w50F3F6994-4EC6-4325-99EF-1471B0892ACC.npy,cyclooxygenase inhibitor
P015086,B05,s5,s3,CBK015987,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B05_s5_w5316A8840-F7C5-45FE-831E-0FF82CAC805C.npy,cyclooxygenase inhibitor
P015086,B05,s6,s4,CBK015987,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B05_s6_w5A803B54F-1F52-425A-84AF-931E24226C03.npy,cyclooxygenase inhibitor
P015086,B05,s8,s5,CBK015987,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B05_s8_w5E18FD668-AEE1-4DA4-B160-571A5A96E48A.npy,cyclooxygenase inhibitor
P015086,B06,s2,s1,CBK041793,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B06_s2_w59532A8B1-D7E3-4283-8568-933F855E7985.npy,cyclooxygenase inhibitor
P015086,B06,s4,s2,CBK041793,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B06_s4_w5349CA2EC-C30C-48D8-B0AA-B487EE25FAA3.npy,cyclooxygenase inhibitor
P015086,B06,s5,s3,CBK041793,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B06_s5_w589485592-2F43-46D7-BF7A-1B9277230695.npy,cyclooxygenase inhibitor
P015086,B06,s6,s4,CBK041793,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B06_s6_w590CA47D6-F1E2-4EBF-8AFC-C19282157E78.npy,cyclooxygenase inhibitor
P015086,B06,s8,s5,CBK041793,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B06_s8_w5C3EDF70D-7A0F-4F80-B180-DEAD7D62EF32.npy,cyclooxygenase inhibitor
P015086,B07,s2,s1,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B07_s2_w5F11DF048-B599-4450-9DB1-F301EAA6F58F.npy,cyclooxygenase inhibitor
P015086,B07,s4,s2,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B07_s4_w56975F587-C0B7-42BA-B533-F1B4BA156CCA.npy,cyclooxygenase inhibitor
P015086,B07,s5,s3,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B07_s5_w55B9489C9-C949-46DE-A21F-ED9DEE47047C.npy,cyclooxygenase inhibitor
P015086,B07,s6,s4,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B07_s6_w592417719-41FA-44F1-BB0B-ABE82F404551.npy,cyclooxygenase inhibitor
P015086,B07,s8,s5,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B07_s8_w5AC751496-41FF-46D8-8FD2-A045B41AE3DC.npy,cyclooxygenase inhibitor
P015086,B09,s2,s1,CBK016300,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B09_s2_w5D38F54A5-964D-4D6A-A2F1-9E4DE0B359D8.npy,cyclooxygenase inhibitor
P015086,B09,s4,s2,CBK016300,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B09_s4_w56E343B5C-C7C3-46E5-8BE9-9308C2C5795E.npy,cyclooxygenase inhibitor
P015086,B09,s5,s3,CBK016300,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B09_s5_w5394A9E28-8CDF-4B92-B115-87C3E504D648.npy,cyclooxygenase inhibitor
P015086,B09,s6,s4,CBK016300,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B09_s6_w5B500BB17-18F2-4BBF-932B-0C7F167C3BBB.npy,cyclooxygenase inhibitor
P015086,B09,s8,s5,CBK016300,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B09_s8_w5908161AC-BC05-4D6D-9A54-27962CD57DAE.npy,cyclooxygenase inhibitor
P015086,B12,s2,s1,CBK042166,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B12_s2_w5804E4C36-DA5A-46EE-9350-E823601D0A43.npy,DNA polymerase inhibitor
P015086,B12,s4,s2,CBK042166,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B12_s4_w5D95D0E73-F512-4AB7-A795-80DAC410393D.npy,DNA polymerase inhibitor
P015086,B12,s5,s3,CBK042166,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B12_s5_w553EDDC79-25CB-4A94-AD8C-4F1F9639F213.npy,DNA polymerase inhibitor
P015086,B12,s6,s4,CBK042166,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B12_s6_w5D819836F-AF29-4300-9E48-6711F5235CFB.npy,DNA polymerase inhibitor
P015086,B12,s8,s5,CBK042166,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B12_s8_w514310DE0-89AB-4FFC-8CBB-B57820A1A228.npy,DNA polymerase inhibitor
P015086,B13,s2,s1,CBK200564,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B13_s2_w5D9F1FDC5-9939-4A69-91B4-440FA00B129E.npy,cyclooxygenase inhibitor
P015086,B13,s4,s2,CBK200564,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B13_s4_w549BB0056-355A-42D8-A94C-959478D0B764.npy,cyclooxygenase inhibitor
P015086,B13,s5,s3,CBK200564,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B13_s5_w56BECD965-3BA9-4F53-9FE3-1E81D2B0A506.npy,cyclooxygenase inhibitor
P015086,B13,s6,s4,CBK200564,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B13_s6_w555CBDA53-72FC-46D6-9E16-27A879C252A3.npy,cyclooxygenase inhibitor
P015086,B13,s8,s5,CBK200564,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B13_s8_w5317436A4-7F85-4228-B14E-2AB2F927AFDB.npy,cyclooxygenase inhibitor
P015086,B14,s2,s1,CBK011684,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B14_s2_w5B63A966D-2630-4FE0-8ED7-908CE0356383.npy,cyclooxygenase inhibitor
P015086,B14,s4,s2,CBK011684,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B14_s4_w5C8DC3404-1596-4BC9-9E8A-C7F3C2DF2F51.npy,cyclooxygenase inhibitor
P015086,B14,s5,s3,CBK011684,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B14_s5_w56F901795-6BEA-4007-B195-CB6DE14CD5F1.npy,cyclooxygenase inhibitor
P015086,B14,s6,s4,CBK011684,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B14_s6_w540D84FA9-DF17-49E6-AFD5-3C6541E75312.npy,cyclooxygenase inhibitor
P015086,B14,s8,s5,CBK011684,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B14_s8_w5CF539E3E-D826-4EAE-9634-208677EEE581.npy,cyclooxygenase inhibitor
P015086,B15,s2,s1,CBK016153,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B15_s2_w5ACAAAF79-1DFA-4D5A-8682-A46EC9830EE9.npy,cyclooxygenase inhibitor
P015086,B15,s4,s2,CBK016153,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B15_s4_w50CAA9B1C-C6A2-4494-81E6-C0B1D77494DA.npy,cyclooxygenase inhibitor
P015086,B15,s5,s3,CBK016153,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B15_s5_w5268D29EA-D3C6-4307-8C81-1534400E62F5.npy,cyclooxygenase inhibitor
P015086,B15,s6,s4,CBK016153,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B15_s6_w537E6742B-BF91-429E-8418-C89400DF53F3.npy,cyclooxygenase inhibitor
P015086,B15,s8,s5,CBK016153,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B15_s8_w565B9BB15-6C46-4323-ABB1-5DCC3EADE5A4.npy,cyclooxygenase inhibitor
P015086,B18,s2,s1,CBK308812,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B18_s2_w53E49638E-EB03-4681-A8C0-DA98ED433099.npy,CC chemokine receptor antagonist
P015086,B18,s4,s2,CBK308812,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B18_s4_w5CBF92B7B-8364-48FB-A1F5-4EC3300C7B5F.npy,CC chemokine receptor antagonist
P015086,B18,s5,s3,CBK308812,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B18_s5_w57DF2E672-B49B-46B1-93A5-01FF5EE36138.npy,CC chemokine receptor antagonist
P015086,B18,s6,s4,CBK308812,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B18_s6_w58269FD98-35B0-4A6E-B8D0-B79EA1A8F799.npy,CC chemokine receptor antagonist
P015086,B18,s8,s5,CBK308812,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B18_s8_w5C3DA6F1D-6BE5-4132-9AEE-7400D073B6C2.npy,CC chemokine receptor antagonist
P015086,B19,s2,s1,CBK201004,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B19_s2_w51AE20E2B-ABCA-46D0-BC23-B42D18B9EADB.npy,cyclooxygenase inhibitor
P015086,B19,s4,s2,CBK201004,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B19_s4_w502654724-B803-4F49-8E2E-0782AB085614.npy,cyclooxygenase inhibitor
P015086,B19,s5,s3,CBK201004,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B19_s5_w5489FF113-B434-4A0E-BEF8-3BF709DFD39A.npy,cyclooxygenase inhibitor
P015086,B19,s6,s4,CBK201004,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B19_s6_w599F434EA-6702-48C2-8724-8F217130CF9D.npy,cyclooxygenase inhibitor
P015086,B19,s8,s5,CBK201004,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B19_s8_w549DE2C1C-EEA1-47E1-92F8-0F3C2FE5D445.npy,cyclooxygenase inhibitor
P015086,B20,s2,s1,CBK011558,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B20_s2_w50780C910-679B-4A30-8870-1E93895BB9A2.npy,cyclooxygenase inhibitor
P015086,B20,s4,s2,CBK011558,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B20_s4_w580640529-E359-4490-B5CF-194886CB62F6.npy,cyclooxygenase inhibitor
P015086,B20,s5,s3,CBK011558,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B20_s5_w51CD48523-02B7-416C-B7A8-5276934C5D92.npy,cyclooxygenase inhibitor
P015086,B20,s6,s4,CBK011558,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B20_s6_w5684F9DA0-30D8-4F79-B212-2CD7C90E2659.npy,cyclooxygenase inhibitor
P015086,B20,s8,s5,CBK011558,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B20_s8_w5BB1FF81E-BA35-4022-AC3F-1ED3D7E0ED08.npy,cyclooxygenase inhibitor
P015086,B21,s2,s1,CBK024260,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B21_s2_w57BE0E970-6B29-4D98-8FC4-E2FC0E86FF99.npy,cyclooxygenase inhibitor
P015086,B21,s4,s2,CBK024260,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B21_s4_w53AABA25E-658E-4452-9724-31E0C07EB73B.npy,cyclooxygenase inhibitor
P015086,B21,s5,s3,CBK024260,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B21_s5_w5CADAA452-B1DF-4A7E-B34B-8F9156183A0A.npy,cyclooxygenase inhibitor
P015086,B21,s6,s4,CBK024260,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B21_s6_w51C0BEDED-E120-4EC3-AAD2-0C11FB8544B6.npy,cyclooxygenase inhibitor
P015086,B21,s8,s5,CBK024260,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B21_s8_w54D173EAA-B3A5-4A65-92CB-8BFC3AD91F38.npy,cyclooxygenase inhibitor
P015086,B22,s2,s1,CBK200528,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B22_s2_w5E83D4A7F-2E82-4DE1-95DD-1A3362064BD4.npy,cyclooxygenase inhibitor
P015086,B22,s4,s2,CBK200528,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B22_s4_w5304F3A73-051A-46D4-969D-7B3F98B0914A.npy,cyclooxygenase inhibitor
P015086,B22,s5,s3,CBK200528,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B22_s5_w5C373FF7C-B7C1-474E-99C4-1859469538F6.npy,cyclooxygenase inhibitor
P015086,B22,s6,s4,CBK200528,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B22_s6_w53A52C354-1E03-4394-8F45-B5E2913A029A.npy,cyclooxygenase inhibitor
P015086,B22,s8,s5,CBK200528,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_B22_s8_w5B43E488C-D0D0-48B9-8DEB-418171BC4009.npy,cyclooxygenase inhibitor
P015086,C02,s2,s1,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_C02_s2_w5EBAFAD4B-C317-4BCD-920C-D816B8A59ACB.npy,cyclooxygenase inhibitor
P015086,C02,s4,s2,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_C02_s4_w5DB81D408-EEEA-4411-9DF8-60B95883B952.npy,cyclooxygenase inhibitor
P015086,C02,s5,s3,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_C02_s5_w504579C37-8567-407D-91AD-D5A76FCDE084.npy,cyclooxygenase inhibitor
P015086,C02,s6,s4,CBK289991,/scratch2-shared/phil/downstream_moas_numpy_data/fl/specs935-v1-FA-P015086-U2OS-48h-P6-L1_C02_s6_w5717E60F1-61D6-42F6-9ACC-B5E6EBC2BAC7.npy,cyclooxygenase inhibitor
