plate,well,site,compound,path,moa
P015084,O21,s3,CBK291084,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_O21_s3_w604594572-24AB-4C78-9233-347CF78F9342.npy,ATPase inhibitor
P015099,M23,s5,CBK290217,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_M23_s5_w650F37949-60E1-49DD-8FF8-CEBF47411F63.npy,retinoid receptor agonist
P015098,I02,s2,CBK308359,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_I02_s2_w6E9D0A0C0-28F9-470D-8CE4-84F823B948EC.npy,tubulin polymerization inhibitor
P015085,C23,s2,CBK288285,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_C23_s2_w67634477D-E246-4CEE-98A1-FD53DB3A0C96.npy,Aurora kinase inhibitor
P015090,C15,s5,CBK308260,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C15_s5_w675A91183-2374-49B3-B1F2-B6AC4C4DF779.npy,HDAC inhibitor
P015099,J15,s1,CBK309049,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_J15_s1_w65F06DB09-E5CD-4D04-B139-E3C15AA1B9AC.npy,retinoid receptor agonist
P015090,I15,s1,CBK289839,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_I15_s1_w668FBF792-9624-420B-8255-B17D8CDCBD3F.npy,HSP inhibitor
P015085,K09,s4,CBK288349,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_K09_s4_w62BB550AC-E396-4EB7-93F4-E8B7761EA5D5.npy,Aurora kinase inhibitor
P015098,N18,s5,CBK309084,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_N18_s5_w634F08216-2184-47F7-9044-946D8EF72DD7.npy,topoisomerase inhibitor
P015092,G04,s4,CBK288347,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_G04_s4_w6A645C228-F11F-4154-8D66-3DCD4FCE41DF.npy,JAK inhibitor
P015094,O14,s5,CBK308321,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_O14_s5_w6F4AF6539-5F37-4D81-A4E2-3A091566BD07.npy,PARP inhibitor
P015082,E08,s1,CBK290538,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s1_w65DCBF253-0F69-4324-B6A9-B60DC4DB8D46.npy,topoisomerase inhibitor
P015098,M12,s2,CBK307747,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_M12_s2_w6AECA01DD-B44F-4D27-9E54-7DBA9721441B.npy,tubulin polymerization inhibitor
P015099,L18,s2,CBK309049,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_L18_s2_w646EDB33D-0B57-4AAE-88C0-A902F0F75138.npy,retinoid receptor agonist
P015090,M13,s5,CBK309523,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_M13_s5_w6F6C98C64-D38E-4BDD-A58A-15AF80DAEBE5.npy,HDAC inhibitor
P015084,B03,s2,CBK288349,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_B03_s2_w6717607CF-B063-47B5-B152-C7353F562CB8.npy,Aurora kinase inhibitor
P015098,F12,s2,CBK309466,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_F12_s2_w68DD9BC33-1E9D-48E9-819A-F4F44EEE2650.npy,retinoid receptor agonist
P015094,M21,s1,CBK277970,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_M21_s1_w60C52FEE6-EA90-4F9E-A9C6-8576CB891C32.npy,PARP inhibitor
P015099,D19,s4,CBK309021,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_D19_s4_w604CE5771-DE47-4345-A53A-2E43D2125A3A.npy,topoisomerase inhibitor
P015084,L18,s1,CBK308709,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_L18_s1_w68C437901-FAAC-460E-8CF7-86C2367CE8B7.npy,ATPase inhibitor
P015090,C02,s2,CBK289740,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C02_s2_w6D007AAA8-789E-45C8-BDAF-83443C02EE24.npy,HDAC inhibitor
P015090,E09,s4,CBK291020,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_E09_s4_w64AFC2332-FEDF-484B-A35D-9912D78CE953.npy,HDAC inhibitor
P015093,E12,s3,CBK309070,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015093-U2OS-48h-P9-L2-TL_E12_s3_w65F73ACB7-53AA-473A-837F-0632F2286A0B.npy,JAK inhibitor
P015099,E19,s2,CBK016139,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_E19_s2_w67D01EFCB-718A-4F66-A5BF-A8415C787503.npy,tubulin polymerization inhibitor
P015090,C05,s3,CBK289731,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C05_s3_w62FFAC0A5-9ADA-41A2-9D10-A5E57378F933.npy,HDAC inhibitor
P015094,O23,s5,CBK041804,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_O23_s5_w6D604BC2C-6F7D-405C-ADD7-CF2F12AC26E4.npy,PARP inhibitor
P015085,B10,s2,CBK228145,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_B10_s2_w6BA62564A-7EEE-41CB-BC6E-B71AA937F70A.npy,ATPase inhibitor
P015097,C06,s2,CBK307956,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015097-U2OS-48h-P11-L2-TL-run2_C06_s2_w68AB8974E-9EBC-43FC-8983-64C2389916F6.npy,protein synthesis inhibitor
P015098,H14,s2,CBK011613,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_H14_s2_w6E9F33AA9-6B69-4472-8202-101F81083AE1.npy,retinoid receptor agonist
P015096,L11,s3,CBK041619,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_L11_s3_w6CAF18852-E2DC-4B38-B464-2427B0A96A31.npy,protein synthesis inhibitor
P015096,D07,s1,CBK307773,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_D07_s1_w68436B407-3E9C-4B2C-BCA2-10674B0973E0.npy,protein synthesis inhibitor
P015085,G16,s2,CBK228145,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_G16_s2_w628BE6963-1833-43CA-AD4E-9D50E212FAB0.npy,ATPase inhibitor
P015093,D20,s4,CBK303909,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015093-U2OS-48h-P9-L2-TL-run2_D20_s4_w67416EC4F-0A37-4B5B-B69B-D00F284E73B1.npy,JAK inhibitor
P015084,J11,s5,CBK018513,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_J11_s5_w62C20ED52-45D1-4BAB-9C39-63A458AE57CD.npy,ATPase inhibitor
P015099,H21,s1,CBK309040,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_H21_s1_w6372D2E12-6A32-4E0F-9DE0-96050A88BA0B.npy,topoisomerase inhibitor
P015091,D18,s1,CBK290837,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_D18_s1_w69DBA96C8-8627-4839-90D4-11FA2ED5DAD9.npy,HDAC inhibitor
P015090,O15,s4,CBK290753,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_O15_s4_w67129351B-99AF-48A2-BDF0-05CE2E0FE3FE.npy,HSP inhibitor
P015090,M13,s1,CBK309523,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_M13_s1_w69A860384-0D6C-4FD6-BB75-5404C1D9E3CF.npy,HDAC inhibitor
P015090,G17,s1,CBK309545,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_G17_s1_w6AD3F9068-7B1B-4CD4-9341-0FA5D8EFAEA8.npy,HSP inhibitor
P015098,H09,s1,CBK289882,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_H09_s1_w648022B4C-095C-4D0E-8DA4-29E2FF27275D.npy,retinoid receptor agonist
P015092,G04,s3,CBK288347,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_G04_s3_w632B124BE-5901-424F-B049-BB233AC1C257.npy,JAK inhibitor
P015085,L19,s5,CBK288259,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_L19_s5_w65597C3DE-DE8B-485C-B642-FCE798C39570.npy,Aurora kinase inhibitor
P015099,O13,s1,CBK307747,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_O13_s1_w646FF07F8-8195-4F0D-9AB7-259750FB56FD.npy,tubulin polymerization inhibitor
P015097,I03,s5,CBK041519,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015097-U2OS-48h-P11-L2-TL-run2_I03_s5_w6D7B5A5CB-E5EE-4A35-8B39-F49A5966DC5E.npy,protein synthesis inhibitor
P015098,K20,s5,CBK307747,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_K20_s5_w6DA2501BF-7C7F-44A6-A6FA-7E9266337A1B.npy,tubulin polymerization inhibitor
P015096,B03,s1,CBK307772,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_B03_s1_w601DEEA4A-C9F4-4B43-88C0-F9FD07499701.npy,protein synthesis inhibitor
P015094,J09,s2,CBK278031,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_J09_s2_w6383DCF75-AE52-458A-9558-7AE1B49BC8FA.npy,PARP inhibitor
P015090,C19,s2,CBK290547,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_C19_s2_w65BAA8281-B446-4742-A63E-08E477D3EE48.npy,HDAC inhibitor
P015090,B06,s5,CBK277935,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_B06_s5_w6B0EAFB85-5BE2-48F4-AE15-FFE8B177A0C3.npy,HSP inhibitor
P015099,M17,s1,CBK041506,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_M17_s1_w6412E948A-AC38-44C5-8269-4B17FC4421A3.npy,topoisomerase inhibitor
P015094,F03,s5,CBK290993,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015094-U2OS-48h-P10-L1-TL-run2_F03_s5_w6EA762236-1B65-4883-BBA4-7E038963449D.npy,PARP inhibitor
P015090,K19,s5,CBK308260,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_K19_s5_w682B84DE9-25D8-4BDC-AB1F-74992984A8EE.npy,HDAC inhibitor
P015098,H18,s4,CBK201030,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_H18_s4_w6C7F0CCEA-E52D-4D1C-9163-36C9D8F19DE6.npy,topoisomerase inhibitor
P015099,I14,s1,CBK289760,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_I14_s1_w60B8153ED-824E-4D06-97DF-1DF322CEF108.npy,topoisomerase inhibitor
P015090,K05,s5,CBK290760,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_K05_s5_w637164F78-FCCE-4A5C-86A6-4F28B37BC6CA.npy,HSP inhibitor
P015092,J20,s3,CBK288351,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015092-U2OS-48h-P9-L1-TL-run2_J20_s3_w6AAC33D3D-7107-489C-A58B-3E6D27AFB62D.npy,JAK inhibitor
P015090,E13,s1,CBK308137,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_E13_s1_w68522A1E6-03F3-4AC6-A264-DD65281F308A.npy,HDAC inhibitor
P015090,F18,s3,CBK277968,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_F18_s3_w63317825A-1C0A-492D-93C8-10FBE179B19D.npy,JAK inhibitor
P015085,L11,s5,CBK288281,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_L11_s5_w6E465CC4A-66C4-4F6C-A966-734C061F510A.npy,Aurora kinase inhibitor
P015097,E18,s2,CBK309349,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015097-U2OS-48h-P11-L2-TL-run2_E18_s2_w68751B6E9-2B28-4F2B-9AC9-E3A90437EAC8.npy,protein synthesis inhibitor
P015096,D13,s5,CBK200860,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_D13_s5_w6F8603E1D-2227-440C-8E48-6A928B26C061.npy,protein synthesis inhibitor
P015084,I21,s2,CBK290684,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_I21_s2_w69F1AB056-1FFE-4233-A0C7-E4B9894AA0BD.npy,Aurora kinase inhibitor
P015090,O05,s4,CBK277934,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_O05_s4_w6AEC106EC-EFD6-4B64-A19D-0D13DD828780.npy,HSP inhibitor
P015099,N14,s1,CBK308631,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_N14_s1_w65E08D300-30B8-4E01-BBF1-123E8E4EB444.npy,retinoid receptor agonist
P015098,G03,s2,CBK289760,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_G03_s2_w69CC75A1B-6BFB-4E61-9A38-A3ABA95928CC.npy,topoisomerase inhibitor
P015098,H13,s1,CBK308276,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_H13_s1_w6829B2B7F-E557-4C55-B887-EB30F031502E.npy,retinoid receptor agonist
P015095,D20,s5,CBK290205,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015095-U2OS-48h-P10-L2-TL-run2_D20_s5_w67EA04EC0-6CA5-4ED0-86B8-CEAB8048BF45.npy,PARP inhibitor
P015099,M22,s3,CBK278120,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_M22_s3_w6AB77FC10-F460-46E3-B42A-229F220242E0.npy,tubulin polymerization inhibitor
P015099,I13,s3,CBK303985,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_I13_s3_w6BCDD0362-E356-4DD0-A39A-9DEB79FDD48A.npy,topoisomerase inhibitor
P015098,G12,s3,CBK290101,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_G12_s3_w6AF56DF47-DB49-4BEE-AF1E-118F58F78567.npy,retinoid receptor agonist
P015098,M05,s1,CBK309265,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_M05_s1_w631C3CC04-CBA9-4F54-9CE3-A6ABD50114F2.npy,topoisomerase inhibitor
P015099,I09,s3,CBK277969,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_I09_s3_w6ABD100AA-2D6A-4DA7-ABFA-9DC9C8CD2155.npy,tubulin polymerization inhibitor
P015098,G14,s2,CBK271643,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_G14_s2_w63B181E7C-C798-4415-A630-FBAD982F1B4F.npy,retinoid receptor agonist
P015085,G22,s1,CBK290766,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_G22_s1_w6B3ED29C3-8A53-4FE4-B1C5-B24F153123CF.npy,Aurora kinase inhibitor
P015091,E19,s2,CBK289839,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_E19_s2_w6B8E58BA4-42FD-43A8-92CF-B57A54B98F9C.npy,HSP inhibitor
P015099,O09,s2,CBK289760,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_O09_s2_w615337C4D-9A68-4555-AF38-B02A1585BC62.npy,topoisomerase inhibitor
P015096,K06,s4,CBK041619,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_K06_s4_w627B79CEE-EC20-47E3-9A31-DA2366747FA9.npy,protein synthesis inhibitor
P015098,N06,s4,CBK041506,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_N06_s4_w6282A94F6-7E38-4AAA-A3A6-25BB5DC88F64.npy,topoisomerase inhibitor
P015091,I07,s4,CBK289740,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_I07_s4_w6B1ABDF61-44DC-42EC-845B-2AC506B91D93.npy,HDAC inhibitor
P015098,G13,s2,CBK277909,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_G13_s2_w689279EB8-59CF-4BBF-A3BD-F22646A9A93A.npy,topoisomerase inhibitor
P015099,O09,s5,CBK289760,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_O09_s5_w6DBC9E4A1-F45F-4450-9A4C-80F36A6AEBF1.npy,topoisomerase inhibitor
P015099,K07,s2,CBK041506,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_K07_s2_w61A680A4C-553A-467B-9572-6C85E2983ABD.npy,topoisomerase inhibitor
P015090,I02,s1,CBK277968,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015090-U2OS-48h-P8-L1-TL_I02_s1_w6FFEA3C50-30E7-404B-A488-0759FB6B952D.npy,JAK inhibitor
P015098,F12,s1,CBK309466,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_F12_s1_w6E0783ADB-9867-4E2D-BF04-F2F286FCAF56.npy,retinoid receptor agonist
P015098,O09,s1,CBK309040,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_O09_s1_w69337AD13-6CB8-492C-95FB-F7F042D6F76E.npy,topoisomerase inhibitor
P015091,N19,s3,CBK291020,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_N19_s3_w6AACB303D-C78C-45DC-B518-DECC86EEE65A.npy,HDAC inhibitor
P015097,N20,s1,CBK041519,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015097-U2OS-48h-P11-L2-TL-run2_N20_s1_w6A07AA4F5-9C31-486D-90A9-67C66227765F.npy,protein synthesis inhibitor
P015098,D14,s3,CBK308631,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_D14_s3_w672687FEF-4898-4212-9D7C-3CB1A394C999.npy,retinoid receptor agonist
P015099,J08,s4,CBK303985,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_J08_s4_w6377EC887-5BC7-4B0B-AE41-B4250CD12F9F.npy,topoisomerase inhibitor
P015096,K06,s2,CBK041619,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015096-U2OS-48h-P11-L1-TL_K06_s2_w65FA22F0A-6F9C-43C4-942B-D3FBE0982904.npy,protein synthesis inhibitor
P015091,O22,s4,CBK277934,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015091-U2OS-48h-P8-L2-TL_O22_s4_w6A6BD940A-606A-40CE-A782-426785210221.npy,HSP inhibitor
P015098,F10,s3,CBK309084,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015098-U2OS-48h-P12-L1-TL-run2_F10_s3_w612FD112C-14D3-4C09-893E-7152CD252775.npy,topoisomerase inhibitor
P015099,D11,s2,CBK271643,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_D11_s2_w68565D4B8-E076-470A-BE35-84CEE691D33C.npy,retinoid receptor agonist
P015085,E17,s2,CBK006628,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s2_w641696C1F-BF80-4D95-AC7A-2C16B89A9025.npy,ATPase inhibitor
P015097,E18,s1,CBK309349,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015097-U2OS-48h-P11-L2-TL-run2_E18_s1_w6D40AD48E-805C-4F19-801F-885CF2D8BD59.npy,protein synthesis inhibitor
P015099,E18,s3,CBK290012,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_E18_s3_w65603ED3C-9FAC-408F-8E2F-08EA3048CC33.npy,retinoid receptor agonist
P015077,H22,s5,CBK200601,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s5_w6BAEAE604-729F-4071-BF44-DB95E08F3FC1.npy,retinoid receptor agonist
P015099,D19,s3,CBK309021,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015099-U2OS-48h-P12-L2-TL_D19_s3_w675F7BFFB-D610-4846-8340-2D2067297299.npy,topoisomerase inhibitor
P015084,D18,s3,CBK290766,/scratch3-shared/phil/non_grit_based_numpy_data/bf/specs935-v1-FA-P015084-U2OS-48h-P5-L1-TL_D18_s3_w66ED5A3FA-E757-4AA3-937F-8D28F1FD03CC.npy,Aurora kinase inhibitor
