,plate,well,compound,path,C1,C2,C3,C4,C5,moa,_merge
10,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s2_w1A00AB18A-A652-4577-8DA9-263EFA5E6A37.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s2_w2E02DA219-835F-4797-BF52-AD444354C0D1.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s2_w37BE929D8-9C26-4D82-9374-D99701B18388.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s2_w443B3BEF8-B433-4F66-8C1C-C77FE72ADB0B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s2_w5C47F6F1B-E011-4865-8832-2F8BE20645A2.tif,dmso,left_only
11,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s3_w1ABE6BD1A-3B7D-43AD-9E71-E98CE17EC89A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s3_w256DE2245-ABA9-46C8-A2A1-CCEBEFD41433.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s3_w3484F9406-E22F-4AAD-B1CD-4206FCE89CEC.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s3_w4E645D413-0FB6-45AE-8728-227319BD077D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s3_w512980329-8C8D-49A7-9A8F-70AE27B012C3.tif,dmso,left_only
12,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s4_w12473CEAA-E065-4EEF-861C-59BF519CECA6.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s4_w2E408AEE2-41AD-4192-B434-A2A9A69FE807.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s4_w37C64B93A-0ABD-470F-A8BA-B5F695912D55.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s4_w457D34209-F13F-4CF0-8FC7-9446B3954AAA.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s4_w5C0F971D8-3D4E-43F6-B575-8A5F3B3E3785.tif,dmso,left_only
13,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s5_w1BDFFE630-379E-4EE7-9BFE-2E11802E7F4D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s5_w290B84E9F-83C1-4CC7-83E3-218BB5B981A0.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s5_w39E116198-7CC9-4E4F-BB66-F66881CB7B3F.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s5_w4A00EB7A5-3A46-43BF-B6FB-4AF03660CF65.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s5_w503A528EA-5B8D-422C-92D4-1DC4B955C3A3.tif,dmso,left_only
14,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s6_w1C132F1EB-2389-4F57-91F9-A0D89300D046.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s6_w281C0D765-7D38-4072-85AA-16C045723D76.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s6_w3EF60D313-BB48-4794-AF27-5304E01E5189.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s6_w4B1EF953B-FB74-43A1-AD94-A933D737DA7A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s6_w514CDED6F-E745-4607-BB58-7F90DEB07576.tif,dmso,left_only
15,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s7_w127491D9F-9EDE-49B1-B7BA-29A5D676C519.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s7_w283991702-285C-4295-B22A-12D6BBD6E4C0.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s7_w3349EB374-F27C-4D32-8A0D-029F8AF316F0.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s7_w440ACE93D-DD07-43B1-BA74-72C418A65808.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s7_w55FD47AA3-D7E6-4CCA-B87B-A33F6521F1A0.tif,dmso,left_only
16,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s8_w17B7EBF9B-DF33-4DEA-8389-43EF846A76CB.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s8_w230E3D4FE-353C-4E2D-A087-D8B4EC16A076.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s8_w349FF58D2-3451-4373-9418-9E176A8D48D8.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s8_w421DB2EDD-055E-4C50-BDAA-1102D4B2C728.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s8_w588391580-95FE-43B7-BC4E-B6794BECD697.tif,dmso,left_only
17,P015078,B21,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s9_w1D3A2DAEC-1406-4928-BF4F-0D119FA7F7C0.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s9_w258E38A06-8677-4E10-8ECF-08DF5C15083E.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s9_w33BF2AEB3-A4AC-411A-AAE4-33E44FEEEB60.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s9_w4B1BC7C05-3CF9-4AB1-91BF-9526AF0C9E7A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_B21_s9_w58EB3C7AA-7939-4630-BA18-F791D9D803C7.tif,dmso,left_only
18,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s1_w1D9BF658E-9D50-4D06-86F4-CF7570D64212.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s1_w2EB5F3342-027B-4D48-ADDE-55F8D25A1E62.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s1_w3B518886E-B24B-4F85-9D3B-4B9BB6176777.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s1_w4A3451F4B-698C-4EFE-9A28-6BD823CBD69A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s1_w5D4E2AD8C-3D89-408D-B785-42103ADADBBF.tif,dmso,left_only
19,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s2_w17CA4065C-2A1D-4F8F-A309-0BFAA5D862ED.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s2_w2BA62D285-C645-47CC-877E-467EBF4C9070.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s2_w3BF4DE405-48E9-4E3F-BB44-8D016B6357A6.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s2_w4397551A2-B6B2-4736-B90D-5239DB997FA4.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s2_w5B11148A2-E3CA-41AD-B053-0E78C92F1F9B.tif,dmso,left_only
20,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s3_w16FF216EE-9A95-438F-A6F1-AA24C9B22144.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s3_w21FA22A10-BC44-4019-B183-8AE2C3B71817.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s3_w36F175918-356F-4D47-9911-FAA75F6D6BA2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s3_w46295ACF8-491E-486F-AC79-BDE5E2BA0B70.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s3_w53F3E0D63-6D74-4C99-8402-DE77EF50C95C.tif,dmso,left_only
21,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s4_w107DCB3EF-7505-49B2-AF10-B15041C8BB10.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s4_w22C5BDB17-CC86-44D6-80F5-A1432F374F4D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s4_w366A16D8F-3DEC-4DDB-88CF-34A3B16D8DC4.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s4_w4758EE77E-6BC7-448D-AC7D-1CB6239AC964.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s4_w57E1C426E-EA4D-4C2D-9C8F-419D084FFDC4.tif,dmso,left_only
22,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s5_w10B0AA86E-12F2-4ACD-88C0-8EDD338C07EF.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s5_w25071E53D-B8DF-4EE0-857C-2EBB9C43EE85.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s5_w3F8A6D012-3F89-49E8-BD58-35D939B56555.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s5_w409FD90BF-4EEC-4D48-A948-E02E7C9BDD59.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s5_w5559E24D2-1C96-44C7-8535-25FFA1B83884.tif,dmso,left_only
23,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s6_w17FC48F8F-1775-4B38-ADD8-2C51C0AF3A54.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s6_w2C458EE41-BB9D-4D70-8E42-6461B7EB17A5.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s6_w329E80656-56AA-443C-81FD-97CF06B3A7F5.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s6_w43012DD89-9C33-49AF-B5B6-C744AC003C9C.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s6_w5EFADB402-B7A7-4D21-9C73-60E708C97E03.tif,dmso,left_only
24,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s7_w1D2A378BB-C05D-4769-BE0C-CBD105AE3743.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s7_w2B732FB88-41FE-422F-9182-7A5B6783266D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s7_w392BBD38C-DDE2-48BE-9D38-A3FE6F1B06A0.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s7_w436949927-C964-4B14-9657-B7E389E93103.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s7_w59522174E-AFAC-48D8-AF9F-14110E915D88.tif,dmso,left_only
25,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s8_w15E7D624C-8B1E-413E-96AF-68C49B1B8B3A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s8_w253ABE471-8A64-4168-B501-1E50D5C89BB5.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s8_w34EB40A66-0F09-485D-A28E-F8D46E7C7CF5.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s8_w430430045-E450-4092-810E-16CA25A023EF.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s8_w579C9C5E8-A50F-414F-A334-4FD2D5A94720.tif,dmso,left_only
26,P015078,C14,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s9_w100A9861E-BDCC-411B-89C3-F8177290CB06.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s9_w2BC3C1C2D-144F-4DAB-AF22-F27828150D1D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s9_w3BB03EBDC-9E27-4A79-963E-E3B62AB42732.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s9_w43CFDE67D-F68F-403B-A553-FAEEA3348F05.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C14_s9_w5FF3A61B3-A8F3-4F64-8180-E2535C11D280.tif,dmso,left_only
27,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s1_w199CD2BC4-3C91-42CD-94F4-B114D5228325.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s1_w2F9C76F24-719E-448F-A02A-C5BA100ECB0B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s1_w3F5AFCBC7-EC2B-4E4E-9BF4-ADD714040A5C.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s1_w4BDAEE450-E84E-4433-9600-F18DF4BE361A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s1_w5889C1E74-7E67-4096-BF27-FE1EEA622A69.tif,dmso,left_only
28,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s2_w17AE4E391-F933-4EAA-84BF-0B2F7C1AE04D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s2_w298E5B790-C172-4849-BE3A-83AF4CC1145A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s2_w30675B614-07B4-42D9-9F1D-FF21329A2CD9.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s2_w47E9BB60E-6D6E-40D0-89FC-62E306843828.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s2_w5D9D91E44-F70A-44AB-BA8B-405068730DB0.tif,dmso,left_only
29,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s3_w1DD431D88-87A2-474A-8800-D103BE347EE9.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s3_w2A479F532-26D0-421D-BD88-A98A092654B2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s3_w3C61D295B-9AE1-4201-815D-0EB593EEBCBD.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s3_w46BC33CA8-052A-4A7B-9C18-20BCDB995F82.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s3_w575865510-B7A0-432C-BD30-321ABA62BB49.tif,dmso,left_only
30,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s4_w12454E8F3-D14D-4278-ADE0-597A5D188E5A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s4_w2C6D8EB82-A4CF-4001-9BE6-7811F8A61BC9.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s4_w34589FCEB-0187-4874-9697-F0163966C4FA.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s4_w4BBAC9B33-F011-4748-8108-B5E189C8D3BD.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s4_w5F39F2826-4FC5-44CD-8293-4B4485718055.tif,dmso,left_only
31,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s5_w123338E4A-9449-4C65-A655-8981E981AEB7.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s5_w2DF87F1DA-B2AB-41E6-A39A-0C9D2E07B34D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s5_w33598BB73-5542-4F94-A612-3511C48A819F.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s5_w47E8B55F6-49F9-485B-8B10-B95BFC20827B.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s5_w5783CBA2F-8622-4823-B3EF-4B66E78E1AB2.tif,dmso,left_only
32,P015078,C16,dmso,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015078-U2OS-48h-P2-L1/2021-12-16/848,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s6_w19E3D1A22-60C6-42D9-8EEF-1E9CE7A3AB6C.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s6_w22E4899FD-87BB-4B99-A78F-4640D858E85A.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s6_w30ECC4DA3-E5C1-4CF8-9FC7-D2EDDA88436D.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s6_w4A3C35158-EE0B-45E0-96AF-745A0E4657D2.tif,specs935-v1-FA-P015078-U2OS-48h-P2-L1_C16_s6_w52C0CF628-312C-4DBE-96AC-DB6C42281D26.tif,dmso,left_only
