plate,well,path,nuclei,C1,C2,C3,C4,C5,C6
P015076,D13,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w1E15EF9AF-357B-4B24-932A-27CF6191ADDC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w25ED3E339-ED4D-434E-85E2-8DEF20B0C0DB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w30EEEAC2B-3394-4DAD-9D9F-9B8D29266C4C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w4383AE149-0D24-456E-BE48-852A0DFC5E5F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w56E15C437-8135-4506-923F-964893C88488.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w659ABABE6-AE66-41E4-844A-4BF89DC97C8A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s1_w741E3DCCA-BB94-4944-8A26-0DA276DCADB4.tif
P015076,D13,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w159982B8B-C2A2-4C85-A272-56C41BEA9A7C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w22956A041-54FD-4A04-A04F-9BAAE280D916.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w36BC3023D-F3CA-409A-8AF3-235A94C75903.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w4E364F505-A5B7-4710-AD6E-D97781323FB6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w5DEB4F5EE-1A3B-45C0-82F2-88AAC5A059D2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w6A52F5032-F7D3-4650-B33B-E3E91018AA15.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s2_w762FD5388-31CD-4465-AD71-D3BB34883CAE.tif
P015076,D13,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w1E9C69257-1005-49E3-95B4-5DD8DB229286.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w29843D677-684B-42CF-A005-48C8313A1545.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w3510FFAB0-7706-4BD9-9A59-1DFBE23AAE92.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w447A65F4A-F620-47D2-8DE8-415424DE2FBB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w549C2DDFD-788D-434C-B932-5B96836D8CE5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w61FF6A3FD-ABD6-4183-8A1B-49003159E5B4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s3_w74B1420D6-E15A-48F4-B580-6D8F5C0774C5.tif
P015076,D13,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w1555E1FA9-756D-4541-9E4D-8716DE9D9858.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w2BB2693B5-AA52-4617-9CA3-45544C605EBD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w310507A4B-9852-4C33-95BB-FC9D29B10ED0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w482DE9643-1663-4A31-ADA4-A6FEDB12D683.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w5F2B1411D-68C7-4681-A524-62D00A6CA8D4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w6C968725E-958F-42B0-978D-7BE1567DBFBD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s4_w7FCC8058E-2FAE-4FD0-B30F-27E5BCF5C486.tif
P015076,D13,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w1113429D0-148C-46DF-ADC7-3EFBDACF1E05.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w27D27A9D2-6A33-4039-9290-2A7C5CEBC228.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w3C7E27687-51BB-48FF-9A42-DA8FC67FE09B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w46A45C3CC-24A9-4CE9-ADB9-7E7BADEFA739.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w5DB56E213-2B95-4DD0-8CA7-72AC58FF6D89.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w648BE8FF3-D962-487C-8C0E-CB6D177C0FA7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D13_s5_w7063013A2-F295-43A1-81F3-07026FFCD469.tif
P015076,D17,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w176326F29-47A8-447B-AD16-2737D66FD4DC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w2C108DA00-4571-444A-BA12-585C990CC740.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w352026AF5-3B2E-462A-A5AD-34B6AFFABBDE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w4BF631CFE-1FCA-4DAC-93BF-40785CB3A857.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w50C60EF33-7D83-4DC3-9BF0-B4516966E906.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w6B1A2DCF8-0A09-464E-8E84-4DDD63A9231B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s1_w78E3999CE-DB97-4790-922B-AAD9BEDFD5E4.tif
P015076,D17,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w183F53944-1209-40B4-A6EF-04A652D2B2A3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w2461DE8B8-E7BF-4026-A1D6-72B89190924A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w347FDE7E1-D6BA-460F-9DAE-E056009BD741.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w483A5D068-857B-477B-A598-E894CB36D083.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w53CBB4AB6-17AD-4599-9882-869B66B97AAF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w64C8D50E3-92BC-45B6-9C73-3E755E0B1D11.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s2_w71E1F59F3-EC8B-4C59-81D1-D4E5585D7E21.tif
P015076,D17,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w1142FF108-577C-49BE-9C4B-34F637F6F7B5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w227A594B7-DC3B-460A-ABA5-54B765848968.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w319F17F14-63B5-4702-8E28-4FF4A34F00BD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w4DF5D8D58-8B7E-4BCD-BBC4-A9DD43D7A802.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w5F028A8B7-47E7-48E0-AE7D-17305D21ACB8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w670D0C66C-C262-4EE9-8558-2E2996302A01.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s3_w720074894-F022-4B0E-9C22-BCF9DEAF903C.tif
P015076,D17,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w1B9AC31D2-6A4A-4748-91CC-0E154E16534D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w288C5A9D0-66A6-4F5B-BD38-C00F0E3F9F0F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w3C67FD422-6B6C-48FF-9C15-AACE19CC2E00.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w406615F45-9918-4298-A294-B06786606F0C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w5E3203B11-73C2-41D5-B3FA-AE73EA351F7F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w6635F1432-EF82-4141-9D48-D6B82FE48B93.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s4_w77EFE670B-2DEA-43BA-9409-685D77A71318.tif
P015076,D17,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w1B9182736-3AB5-40B5-9385-5EB278607966.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w2C37B7337-DE8F-400C-BFE3-DF74A51F415E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w3D2224E4A-5D44-4C66-AB22-F1C745ED14F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w4F4696054-14FF-4182-A93F-E01A3017EC9B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w58F0C38CB-C6EB-41FC-8971-C39E02FBA0E5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w6500AF1C9-F0F9-4701-BF7A-01EFB178E720.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D17_s5_w781478C51-4D32-45D7-AB09-F7F2AA37E3B2.tif
P015076,E11,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w143469834-416C-471A-9369-FE77209FD5A7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w245335DD8-4331-4D08-BEA2-7DB85D343844.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w3D1E03319-7754-4B8C-A89D-A42BCC6FA431.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w4C364B8E2-20DE-4C11-8E1E-C086028D7AE9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w5DB479F6D-90C7-4386-836E-3BA52B4C153D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w6ED90E5FC-0623-4BB4-A178-5CCB3F08BEF1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s1_w72180F47B-310F-45CD-A3AC-95430A1A54B2.tif
P015076,E11,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w18BCD3433-E986-45E1-ACFC-7D5734D51543.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w219EEE4DA-B23A-40E9-AB57-AB08608EA625.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w3E55B6579-4FBC-4F79-BFF6-E3471CB37B7B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w481C2A3DF-C042-43F5-85DD-F4EB47FE0286.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w5A87B8F1D-BDDC-439D-BA5B-F3A927A73EFF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w6E0120728-B8B7-4CDC-BE93-D51B824488F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s2_w7DE03805E-A5F9-4739-8173-F936C1D2197A.tif
P015076,E11,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w18FB4FA28-A07E-48E5-A616-651F33AE3A7B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w2F3AC5F13-A2AB-4754-930A-C9BDF0043901.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w37E4E52D0-2C08-4166-9C59-8CF7E677AF31.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w4A5EDB0E9-7133-4052-9028-7FEB658DD7E4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w55CAB5E72-74AA-4219-92D0-56A506F46B08.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w6FBEED923-3FE9-4C0E-8FB5-C7DB971918F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s3_w76C2CB129-1CD7-4FB4-AF96-627E819D1669.tif
P015076,E11,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w1DD142314-3821-40A3-8297-54A497716336.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w2CBBB8ACE-9E87-4DA5-AB65-B74A63821AA0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w365E3A545-CB7E-462B-861C-093D057C91DC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w4A0E938EA-83E3-4AB7-A0E3-AA8279D035DB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w5C684DE56-9EC7-4733-A003-AEC150F668AE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w66C106F27-634A-40AC-A209-2E38BB9856FC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s4_w7EDAF95D4-A7F8-421E-86F8-E63A132B2B22.tif
P015076,E11,/mnt/micro-images-pvc/jonne/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL/2022-02-28/952,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w19905E9B8-390E-4E99-A8C6-B345BFE0AC5A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w2CFE5E7B9-3C67-4DA3-B7DD-E14B779E2C8B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w3DE7141DB-C2A3-4368-A05F-44C644C52E41.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w432B575BA-16B7-4228-8216-CDEF44796825.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w5B2776857-8420-40F8-8782-E3454A2B1E4B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w665E0D23B-5371-4FD6-A8AC-F1C6C13B4475.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E11_s5_w796528B31-8A7E-4467-A2F7-3DD7D19D64E4.tif
