plate,well,path,C1,C2,C3,C4,C5
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s2_w1E3BC8EEC-C958-4FE3-A7CF-690B91EBB17C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s2_w21596CDFD-BC19-43FC-9C7F-7AECD6B38D94.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s2_w3C8018032-A6E2-4BB5-8F67-2A16A69F9863.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s2_w4B59C4CC1-92D0-4DC6-9371-2BFDD560747B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s2_w5C4EFB10B-34DB-49A1-A6A4-37D89F141DE6.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s3_w1F2E1560D-253B-435F-9B5B-F17BB15CD5EF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s3_w29431B129-F30F-4848-AA2B-914C6DF8566E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s3_w3EA62AF3A-3D86-4FD4-BB84-1139F8438C7D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s3_w43681C4CA-6E0E-4AA4-9E40-9169BBFC4D93.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s3_w51CCB8559-CE31-4BE7-8FA1-8DB5BEFA2C71.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s4_w143DAA0B3-10D9-4335-9CDE-4A7B4DFD9C27.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s4_w2622DAD42-D0EA-410E-83A0-0B385803F934.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s4_w3524EB67D-6E5C-4BDE-A537-57D23563C957.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s4_w42C595ABC-2A62-4A6C-BD22-AF8FE24DBFC9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s4_w5C5FF7338-1EC5-4F7D-BFD0-B06B8D102355.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s5_w1B1C774F4-89CB-4D75-893D-A7E99D190AA4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s5_w2B01E5655-B6B4-410F-8156-7A7011D94590.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s5_w3576B4107-0E3F-4E80-B898-F487BB95A933.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s5_w462718362-9D16-4860-BE41-610F08B5C0E8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s5_w5A9768D61-318D-4914-A9BC-AA2A51649BBF.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s6_w149703C4F-FC02-4AE6-A9AE-5D8CEC4A24E7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s6_w21EEE495C-C299-4A0B-A239-72AC20B03A5F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s6_w3A9CF99C8-F4D8-4D8F-AACE-6B06091EE094.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s6_w46D9BCE22-B510-4DE6-BD61-2C25D2D8C1C8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s6_w59B335A60-E73F-450E-BF12-6B6C4F80E0E5.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s7_w1870D139D-2A0E-4DD8-B0A0-459868071248.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s7_w250CC000C-C3C5-4B60-AD18-8340F94890FB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s7_w36785FC3E-3560-4E1D-8D91-0FC68B610D9D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s7_w463DE5FAE-42D3-4C73-9DC5-A09466A779F0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s7_w5FECF6BBE-C713-4564-B1E7-76368A2565FD.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s8_w1C66E74D4-C22F-4C3D-B506-1C2E4D947B2A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s8_w25E5BF1AD-0474-4BE7-8C68-934630D2C554.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s8_w3EB49DEBE-39CA-462F-BBE3-C6E6F3849813.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s8_w48300A9DF-D825-4AB7-9C9B-0BA47BBE98AA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s8_w501E79A73-FF9F-458F-B62A-2F868C1EA744.tif
P015076,C06,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s9_w179A8934E-6DB8-4BF7-A530-766058D3C936.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s9_w25D41EE51-7F40-4623-ADE9-2A35766A3845.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s9_w31FCE4CC9-8607-418B-8121-584A37352A18.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s9_w4DC960DA9-34D1-4E88-9204-BCC02DE88B30.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_C06_s9_w55713E171-F97F-43D7-96AF-8E500724DB3C.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w13C14C92D-DF59-498A-AC17-4B3BD0533549.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w24C0762CA-4A3E-4AC5-A6D8-9D0C0B9F2135.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w3704F0FAB-FC94-45FD-9891-16FDD00049ED.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w4D41705A8-0789-442D-B2FE-23D885C603FC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s1_w5B7877B97-B44D-4E17-A8BC-217911BBC3C4.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w1472F4529-1266-44B3-8016-F0A0A5BC6F9E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w219C0C413-EBF8-4DA7-9FD8-55E062C97740.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w381A40DD0-F584-4E75-9A9C-B2A01255D436.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w47BEA55A9-0C84-466C-8D2F-ACF31FB99AF8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w5C41C91D8-D0B0-47E1-8114-495AB7703EFE.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w1AC7460DF-2D4C-4CEE-B640-75CA980460AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w29E6BFF4E-D953-4F47-9A42-88B922F1C2F7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w3D8B09348-B827-4848-BA33-A7CC3C14B633.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w419FA45AE-3AC1-489B-89B8-D52CAA2FD36F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s3_w52772D6AC-853E-4A96-BB0A-9D23CB7CB5C0.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w1562C0C9C-DCB2-4B24-8D90-D90A94B22501.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w25ECCA951-C017-418C-BDFD-E01E183416E4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w362CD182C-3CEF-47EF-A311-56A47652A596.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w4B7C79166-D9DE-4AD9-AB39-CC0452354714.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w55932BB13-4312-4E3E-9E99-53A899DD4B58.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w1784EB810-63E9-4913-AC40-E3A633CB9E28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w20A492B4E-ACE1-4711-928C-82790107A0AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w34EA56D27-DEBA-473D-9236-C6F4766413BD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w47998B3DA-8A68-44D9-88BD-9BB829629B03.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w527E1CAB0-F641-492E-A57B-7332DB25D1A5.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w1532220B6-6759-48FB-8015-CBB41AE4E9A5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w2CB1FC6FD-3056-4CBE-9696-E9992D5D202B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w3B4D7DDB7-739A-468A-B98F-CFF79ACEF80A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w41CBD3879-EE69-46FF-AB46-DA9EBBB820CA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w56623E3A9-8632-4F08-879B-2F2C20309AD0.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w1B901F8F2-D62C-44CA-9FE6-5FC1AF511411.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w2F3918E14-2FC3-4E33-9DA7-07AAE321B785.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w30170FD82-C33F-4793-BCC4-C17584381FEF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w48129D0F5-EB2E-4830-AAE1-F5A5C5F0096F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s7_w570D85BBC-053C-4AAD-8830-5B2333F20969.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w1E1464742-71C9-4CE3-971A-AFFAB0CCBECF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w243D64B13-D194-4925-9BED-70D361AE4D74.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w302D6AB10-A0DD-4604-9468-47DF5AEE8A10.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w4F8E64A27-0666-44B7-A024-44AFD55B3671.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w513D002A7-6AB8-4C8C-AB4E-092343328EA7.tif
P015076,D13,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w131665606-8890-4F4A-B438-0E876B7E280E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w2E2FF65CC-1AE1-46DC-B501-46A2ED343895.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w32DBA97DF-CBB1-4171-BD83-9F9054055DAA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w453ADEB07-496C-41DF-90AD-F86D0770DFBE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s9_w5DA14117C-343E-45EA-854A-7498F442BD37.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w15E4EAE76-F89E-449B-BF7C-ADE31EEB1359.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w2E954B7F7-F369-4BE1-84FA-C72C4C662430.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w3349A0A25-5269-4D65-ADC6-F49F4A0B4486.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w49D917491-08EC-4747-BB9E-0E9584EBFE9E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s1_w5461CA37F-A328-446A-8AA2-D01E8F34BBE1.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w19EF5CBCA-80D2-49B5-8A1E-DC9FAAEAA7C5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w2703E2006-2414-406C-ACA0-0BDC1E26E276.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w3AE71A548-4462-4A8D-B514-D21DDB20B7FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w43C68E721-56FE-4505-97BF-C3B5F79C7FAC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s2_w5B2341037-30EA-4B7E-A295-6738E391A4B0.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w17EA5E0A6-6F53-4645-8D43-DE1B3249A6FD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w2FB82B860-B955-40E4-BF1D-23D9A88A7A96.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w3FE925127-667E-4AD4-82A0-4CF0DA0B25E6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w4DE67B424-B232-40D2-B073-E9B2B2CF6012.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s3_w56AE4BECF-0943-4CF4-9CE8-21619BAD83E4.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w1C5B5535D-10F6-4A0B-8BAA-2DA3E79ED787.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w2677C4072-44D9-4520-852A-FA260B569AFC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w38B967BF3-C624-45DE-92F9-4711362AC8DA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w4747A02AF-16A7-4362-9555-1F6F5C0AA6C7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s4_w5F790483B-0867-4AF6-A00A-69D9F8FD96EF.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w1242851B0-381F-46A7-913A-6AA7CDA2905F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w27787C6D9-BA21-4DA8-9E5D-67032B7AC289.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w3782EFAFD-73B6-40DA-BDC3-DB7CE886AD28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w49CEFA92E-C524-40A8-B4D2-539415150804.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s5_w5AB06F9FA-D11C-483C-B7C7-58386C1BBEFE.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w1643001F2-233C-41CD-BA87-98ADE013CA88.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w284918004-3C84-4A20-AF25-14107B1D854B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w3A017C43A-E2F0-4F5D-9F05-3F09EA3651C5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w4BBBD6FAB-1E98-442E-AF3C-3ADBEB5A3B53.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s6_w5F57F0648-6AEB-41CE-AFAF-5BE3EE8F8F48.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w12F98E5AE-09D7-4646-85C3-792F49124BBD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w2066D2739-D176-4D53-8CFD-DFAC102128F8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w31EE7BCED-3DAA-4168-B5B6-2A05077BB058.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w49C0A5442-6995-41B3-83F1-0D649691BC56.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s7_w5350824D5-5962-4AB3-B737-B271C7A14213.tif
P015076,D17,/mnt/micro-images-pvc/specs935-v1/specs935-v1-FA-P015076-U2OS-48h-P1-L1/2021-12-16/847,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w19366E168-DCAF-4ACB-BFDF-0A55373A78A9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w21BE27630-FF40-4EC0-B1C7-913C7AA307FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w3E99A5D77-7CAA-4FAE-AA02-7D772B4DB7F0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w49C16B002-02CF-462C-88CB-DFE53E2D8026.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D17_s8_w5B03781E4-FCBA-4FCF-8C54-36C72DB6D270.tif
