plate,well,site,compound,batch_id,path,moa
P015076,D04,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s2_w64A08E1D1-3AA0-4872-8FA4-313661E14722.npy,cyclooxygenase inhibitor
P015076,D04,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s3_w63BB06D52-44ED-4A7F-AE15-659A10C98AEC.npy,cyclooxygenase inhibitor
P015076,D04,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s4_w628814866-C175-4243-B429-44DC890FF1F7.npy,cyclooxygenase inhibitor
P015076,D04,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_D04_s5_w6F920EEE1-FA53-4BEF-804D-1D5D41B6B435.npy,cyclooxygenase inhibitor
P015076,E20,s1,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E20_s1_w6CD275AC7-EDCE-4A01-B76A-9D5FB57D02C5.npy,cyclooxygenase inhibitor
P015076,E20,s2,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E20_s2_w6C0F7B6C4-8238-4C70-898A-B9B4A806FA29.npy,cyclooxygenase inhibitor
P015076,E20,s3,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E20_s3_w6309F41EF-24F3-40EB-94B9-87124053BBBC.npy,cyclooxygenase inhibitor
P015076,E20,s4,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E20_s4_w67D54EC57-20DC-4E57-9602-65581026D20B.npy,cyclooxygenase inhibitor
P015076,E20,s5,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E20_s5_w661E2B91B-561E-42F5-ABAE-E58230F2B3F5.npy,cyclooxygenase inhibitor
P015076,E23,s1,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s1_w666CFDC54-4BF4-42CC-949A-16CF5D92A77E.npy,topoisomerase inhibitor
P015076,E23,s2,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s2_w695C10702-0580-4EDB-8F56-1D1020303586.npy,topoisomerase inhibitor
P015076,E23,s3,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s3_w6A01B485A-DEA8-43F5-892F-7C12E6B665DD.npy,topoisomerase inhibitor
P015076,E23,s4,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s4_w6EFB02BE0-6833-4CC4-8EE9-7204E676EE80.npy,topoisomerase inhibitor
P015076,E23,s5,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_E23_s5_w67A49BEF1-2431-4259-BAC2-3A149721FBA3.npy,topoisomerase inhibitor
P015076,F20,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F20_s1_w62FE3D7E9-D06E-42B8-9CF3-A80A580B8983.npy,phosphodiesterase inhibitor
P015076,F20,s2,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F20_s2_w63D7E6C79-51EF-43C8-9058-AB1FB0FF6A28.npy,phosphodiesterase inhibitor
P015076,F20,s3,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F20_s3_w6DC0B1231-45BB-4C7E-B4A6-F360A86A6EAB.npy,phosphodiesterase inhibitor
P015076,F20,s4,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F20_s4_w63F5B1562-82ED-4CB9-A7DF-3AFAE8B6DD46.npy,phosphodiesterase inhibitor
P015076,F20,s5,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F20_s5_w60C0232CF-848B-40DE-8669-1D05467A87FB.npy,phosphodiesterase inhibitor
P015076,F22,s1,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s1_w6994A42BD-6AFA-4560-9B3D-9752B0A40DD9.npy,glucocorticoid receptor agonist
P015076,F22,s2,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s2_w637868E75-F7F1-41A1-A2E5-07DD6A526E30.npy,glucocorticoid receptor agonist
P015076,F22,s3,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s3_w668B36CC8-09E9-48AC-AA31-3526C327B1AB.npy,glucocorticoid receptor agonist
P015076,F22,s4,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s4_w6C321B958-EAA6-4EDB-9FF3-7249255E28B1.npy,glucocorticoid receptor agonist
P015076,F22,s5,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_F22_s5_w6AF622B2F-BC05-4033-A6B8-CF892463289F.npy,glucocorticoid receptor agonist
P015076,H08,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s1_w6E33D0A9C-81FA-4522-9FE0-B8B8C4A9B776.npy,retinoid receptor agonist
P015076,H08,s2,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s2_w64BB45389-BF39-4EB1-B214-73FDEA143B1B.npy,retinoid receptor agonist
P015076,H08,s3,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s3_w67F5BB2A7-933A-45FF-99B8-D624223F671C.npy,retinoid receptor agonist
P015076,H08,s4,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s4_w69B34D7C8-5873-4213-9C3D-5089D8EBE9DE.npy,retinoid receptor agonist
P015076,H08,s5,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H08_s5_w630BFC0D3-544F-4902-8F6B-4ADC7F2C1D11.npy,retinoid receptor agonist
P015076,H12,s1,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s1_w67DFE6CFA-FC32-4995-9F8A-8AFFE2C7E6B7.npy,glucocorticoid receptor agonist
P015076,H12,s2,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s2_w66CFA94B8-6F62-4512-B3E7-637C0187C9A8.npy,glucocorticoid receptor agonist
P015076,H12,s3,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s3_w66FBB53C9-EA6D-4414-9011-C692AF138EAD.npy,glucocorticoid receptor agonist
P015076,H12,s4,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s4_w6FB938C98-E0E1-47E7-9B13-447EC324AA9D.npy,glucocorticoid receptor agonist
P015076,H12,s5,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H12_s5_w6CA0A8652-9D5D-42CF-AC1C-8372A274E2E2.npy,glucocorticoid receptor agonist
P015076,H13,s1,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s1_w67E503FD5-D87B-4033-8201-276CC97F2E9D.npy,topoisomerase inhibitor
P015076,H13,s2,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s2_w6E1C22318-C7B6-4FA5-9B7E-CD41220DDCDC.npy,topoisomerase inhibitor
P015076,H13,s3,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s3_w6D94FD404-CBFF-41B8-963C-3523D85AFCD4.npy,topoisomerase inhibitor
P015076,H13,s4,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s4_w6F2C556D0-1B37-4B7D-BC89-4EEBDE47DC3D.npy,topoisomerase inhibitor
P015076,H13,s5,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s5_w6F3A9BA68-1BB8-4690-AA06-E4BF93A3EC4A.npy,topoisomerase inhibitor
P015076,H20,s1,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s1_w6868D021A-1B29-44FA-9044-C7E43734C6A0.npy,glucocorticoid receptor agonist
P015076,H20,s2,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s2_w6886DD9B1-9D07-460D-9FB1-CCFB9FB0D56D.npy,glucocorticoid receptor agonist
P015076,H20,s3,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s3_w663993303-3A74-436E-8945-C3A91D836280.npy,glucocorticoid receptor agonist
P015076,H20,s4,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s4_w6DDA86550-D3BB-41A7-B322-3202BC214A82.npy,glucocorticoid receptor agonist
P015076,H20,s5,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H20_s5_w6722B2085-6616-44D2-BB9E-0C3DADFE4FF7.npy,glucocorticoid receptor agonist
P015076,H23,s1,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s1_w6D2BD20B5-CAC7-4C95-8DF0-2B5696F74A0D.npy,cyclooxygenase inhibitor
P015076,H23,s2,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s2_w637FB5213-6660-4A39-AC18-5D11C9509674.npy,cyclooxygenase inhibitor
P015076,H23,s3,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s3_w65DC18783-07F4-4501-905A-DDC5562C24CC.npy,cyclooxygenase inhibitor
P015076,H23,s4,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s4_w65EA598DA-BF2F-450D-A3E7-1018141A3FD6.npy,cyclooxygenase inhibitor
P015076,H23,s5,CBK290981,BJ1898795,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H23_s5_w6DD8DBFCB-A571-492D-B81F-C9D4E24D9199.npy,cyclooxygenase inhibitor
P015076,I03,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s1_w6BE51130E-4A78-48DD-847C-36AE053943F1.npy,retinoid receptor agonist
P015076,I03,s2,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s2_w64D90E375-68EF-47AF-BB96-D166F6A29F3F.npy,retinoid receptor agonist
P015076,I03,s3,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s3_w63F764DFF-F49D-4152-BC42-977EBA0BD00E.npy,retinoid receptor agonist
P015076,I03,s4,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s4_w640B020EC-5F7A-4664-83C6-41CB95FA82FA.npy,retinoid receptor agonist
P015076,I03,s5,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s5_w6FBE6EC83-2FD7-45E0-AD4C-409EDF5346EB.npy,retinoid receptor agonist
P015076,J05,s1,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s1_w60A8570B3-2293-4303-A325-5447EAABEA09.npy,topoisomerase inhibitor
P015076,J05,s2,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s2_w60471F54D-BFB4-40FA-A758-A701530BF680.npy,topoisomerase inhibitor
P015076,J05,s3,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s3_w6D4268E7E-7025-47C9-BAE1-ACA55830F5B0.npy,topoisomerase inhibitor
P015076,J05,s4,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s4_w68B6438A9-C44C-4F46-8866-C55F20A83300.npy,topoisomerase inhibitor
P015076,J05,s5,CBK041182,BJ1897223,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s5_w63ED6D685-66C8-4DB3-952E-896CDBFF7FCE.npy,topoisomerase inhibitor
P015076,J21,s1,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s1_w61887AFC1-025F-411B-8DFE-C725A7353EE2.npy,glucocorticoid receptor agonist
P015076,J21,s2,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s2_w65BE1A18B-08F0-40DA-83E8-74DC1BE11A77.npy,glucocorticoid receptor agonist
P015076,J21,s3,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s3_w65FFB10F7-30F8-4BF3-ABE7-3CAB647E7A5B.npy,glucocorticoid receptor agonist
P015076,J21,s4,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s4_w6CB950454-2B69-4D1F-907B-899CD3C4C68F.npy,glucocorticoid receptor agonist
P015076,J21,s5,CBK041854,BJ1898806,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J21_s5_w6D50718F8-5A34-42C9-99CC-321BDFEB2D20.npy,glucocorticoid receptor agonist
P015076,K05,s1,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s1_w6907FD970-96AA-4DBE-B179-B4C9857E9F1C.npy,glucocorticoid receptor agonist
P015076,K05,s2,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s2_w6E27D5ACF-E8D8-4193-8212-6CE1A708A03B.npy,glucocorticoid receptor agonist
P015076,K05,s3,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s3_w653B45324-33E3-4F09-B67C-7BF02D9DCD53.npy,glucocorticoid receptor agonist
P015076,K05,s4,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s4_w65E0BC65F-CE4D-4B28-A8B4-1276C5D894F4.npy,glucocorticoid receptor agonist
P015076,K05,s5,CBK307994,BJ1896020,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K05_s5_w635117D1D-53F1-4103-A7D3-BBAE6E64EA36.npy,glucocorticoid receptor agonist
P015076,K10,s1,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K10_s1_w62CF74DEF-17FD-4FF3-B126-2132F98A562B.npy,retinoid receptor agonist
P015076,K10,s2,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K10_s2_w6F9359A39-AD87-4F8B-A26A-6A91835D3513.npy,retinoid receptor agonist
P015076,K10,s3,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K10_s3_w6E0DD8766-117D-4907-B3E6-B0229D67C5F1.npy,retinoid receptor agonist
P015076,K10,s4,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K10_s4_w66830FE17-ECC6-4E25-8BEB-D6582B2D72D5.npy,retinoid receptor agonist
P015076,K10,s5,CBK277913,BJ1898391,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_K10_s5_w62246EEAC-F429-4411-8533-44EFF939DEBE.npy,retinoid receptor agonist
P015076,M06,s1,CBK200601,BJ1898251,/scratch3-shared/phil/grit_based_numpy_data/bf/specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s1_w6D3F10E98-B8AF-4572-8775-53564F204502.npy,retinoid receptor agonist
