plate,well,f_site,bf_site,f_nuc_path,bf_nuc_path,f_ref_a,f_ref_b,f_ref_c,f_ref_d,bf_ref_a,bf_ref_b,bf_ref_c,bf_ref_d
P015076,H13,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w14EC6D56D-A508-4DF2-9527-03E1D5C97EB1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s4_w1048F5B98-ADF7-40E7-AA42-8E61EDF72292.tif,0,-8,0,2160,8,2160,0,2160
P015076,H13,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w132C9F381-186B-4B2E-ABC5-BA6AF6FC97F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_H13_s5_w17769A9F5-2A0A-460E-8545-41731B58D8E7.tif,0,-8,0,-1,8,2160,1,2160
P015076,I03,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s2_w19AD25A90-67FA-49D5-A390-8E3F504E9FF1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s1_w14DEDA3D2-DF34-409E-AF32-6521BAA57176.tif,0,-14,0,-22,14,2160,22,2160
P015076,I03,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s4_w1E10C98C0-71CF-4F6E-9171-B9C0113FD3E3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s2_w1475E1217-8B7F-4840-B94A-259C265A0B5D.tif,0,-13,0,-23,13,2160,23,2160
P015076,I03,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s5_w17047CFE3-5178-4AAB-8DED-1D85CEAE6E4D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s3_w1495A8CF5-50DE-4B10-A781-A19B642BBF9D.tif,0,-14,0,-22,14,2160,22,2160
P015076,I03,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s6_w10A17B73A-AD1A-4FF5-BAA0-4171263622B2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s4_w123EA8449-C53D-43A6-86EB-F93C46505AC8.tif,0,-14,0,-22,14,2160,22,2160
P015076,I03,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_I03_s8_w1F583BF26-3D1B-4FD7-BE2D-0093FBBB9ACC.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_I03_s5_w157F72C6E-1480-4103-959C-42D1412E3803.tif,0,-13,0,-22,13,2160,22,2160
P015076,J05,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_J05_s2_w11D8C2941-EF76-4AE0-835E-5700510DCC8E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s1_w1D26D7F9A-28FE-4424-BB8B-6B192DEB513A.tif,0,-11,0,-18,11,2160,18,2160
P015076,J05,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_J05_s4_w14B877CD9-2EB4-4FBF-A7A6-80FF38412330.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s2_w15FD7498D-5256-4A02-9ECD-26D58CC0829F.tif,0,-11,0,-18,11,2160,18,2160
P015076,J05,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_J05_s5_w1A56241E8-2FC5-487A-832A-228748D1F179.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s3_w1E6ADB74B-2FA4-432A-95B4-F56B6F48347B.tif,0,-10,0,-18,10,2160,18,2160
P015076,J05,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_J05_s6_w1ED7CAFF4-EAB3-427F-924D-60687B73C8B9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s4_w1C76AE0CD-FC53-4507-A903-1187C7B8EEB9.tif,0,-10,0,-17,10,2160,17,2160
P015076,J05,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_J05_s8_w127FB4EAF-18E7-42BA-843D-F0CB45F12F92.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_J05_s5_w19D654E8B-FB2B-4787-AD2A-3714145F7338.tif,0,-10,0,-18,10,2160,18,2160
P015076,M06,s2,s1,specs935-v1-FA-P015076-U2OS-48h-P1-L1_M06_s2_w15219A4D1-E173-4C7F-994B-C840483306AA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s1_w18B287E98-D992-48EC-8853-AF7146141377.tif,0,-5,0,-18,5,2160,18,2160
P015076,M06,s4,s2,specs935-v1-FA-P015076-U2OS-48h-P1-L1_M06_s4_w138D7C757-F46F-4582-AC47-363C5776F3D0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s2_w15B9270A2-D296-4267-A265-DBB3C8063237.tif,0,2160,0,-4,0,2160,4,2160
P015076,M06,s5,s3,specs935-v1-FA-P015076-U2OS-48h-P1-L1_M06_s5_w1DFB82B07-7D91-475F-A8CA-EA6AC07B32C1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s3_w13F13E751-106F-48E5-BF3D-755A9846F31C.tif,0,-4,0,-17,4,2160,17,2160
P015076,M06,s6,s4,specs935-v1-FA-P015076-U2OS-48h-P1-L1_M06_s6_w1E0914348-70C0-4D65-BE51-0AC67610E690.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s4_w1CA268BB2-5D11-4916-A9F1-879CE6570B73.tif,0,-4,0,-17,4,2160,17,2160
P015076,M06,s8,s5,specs935-v1-FA-P015076-U2OS-48h-P1-L1_M06_s8_w1CD213DE8-9D24-4A20-80D5-EE659F7E1D0A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1-TL_M06_s5_w19514489E-D126-43E6-9D22-9397A4DE6690.tif,0,-4,0,-18,4,2160,18,2160
P015077,C07,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_C07_s2_w1D5C3F673-B366-4836-9C08-EB2CCEFB0E65.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C07_s1_w1937E5802-CFDC-4EE6-8722-F373CB0F08E3.tif,0,-12,0,-35,12,2160,35,2160
P015077,C07,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_C07_s4_w14E458AFA-C15B-4A50-A49D-A08E70544F0C.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C07_s2_w1DDD8F9E4-B8FC-4E7B-BAA4-B4ECBAE8C005.tif,0,-12,0,-35,12,2160,35,2160
P015077,C07,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_C07_s5_w1F0F7DB5E-3899-4825-94B6-EF346E9185E4.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C07_s3_w180872671-FF9F-43D8-9B2D-D1410854E5E0.tif,0,-12,0,-35,12,2160,35,2160
P015077,C07,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_C07_s6_w156214D99-5BEB-4AD9-9DAA-919BEFC59503.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C07_s4_w1B0C9BCA4-A241-4B71-85C2-33A9D4D095F4.tif,0,-12,0,-34,12,2160,34,2160
P015077,C07,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_C07_s8_w1C592697B-53C0-482C-B8A2-B83A4D567A24.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_C07_s5_w169A4E63D-918C-40B3-A873-658039559A18.tif,0,-12,0,-35,12,2160,35,2160
P015077,E12,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_E12_s2_w1C6452FA8-341E-49F0-8FEE-7BB4FF8290E3.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E12_s1_w1C34B2CF3-9EE2-4EEC-99EC-4D4C5F36AE61.tif,0,-9,0,-26,9,2160,26,2160
P015077,E12,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_E12_s4_w1D4FB889A-C171-45C6-BF87-B6E3C235C3EC.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E12_s2_w15756F8E4-46FE-4FAD-95A0-02179AEEC6CE.tif,0,-9,0,-27,9,2160,27,2160
P015077,E12,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_E12_s5_w1EF555DDD-5EA2-48AB-9171-CB3C80AE18FC.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E12_s3_w1A981269E-0DC9-4420-A660-2B4FDF06758A.tif,0,-9,0,-26,9,2160,26,2160
P015077,E12,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_E12_s6_w1F24D5A94-45DB-4CF3-9284-83598308BF42.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E12_s4_w133716645-A712-4A90-A051-076EA9690F6C.tif,0,-8,0,-26,8,2160,26,2160
P015077,E12,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_E12_s8_w1DF382C5C-5062-4F6F-9D28-F26048E26B6C.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_E12_s5_w1A3E67831-CACE-45A6-81BB-81D912CD3D5C.tif,0,-8,0,-27,8,2160,27,2160
P015077,H22,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_H22_s2_w198277DA6-9AE3-44E1-97B9-68F3D4D34366.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s1_w19F21D2C5-D63C-4830-89C4-C2A50EDA1765.tif,0,-5,0,-10,5,2160,10,2160
P015077,H22,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_H22_s4_w1DD0D71FD-7A54-448F-9171-01781DF5D05A.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s2_w12F7C87F1-6C57-4AD5-8051-03E571AC7C3F.tif,0,-5,0,-11,5,2160,11,2160
P015077,H22,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_H22_s5_w1759D472E-27F8-4639-A114-E1996C75C458.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s3_w161152B71-54B1-465B-9024-486E2A593A18.tif,0,-5,0,-10,5,2160,10,2160
P015077,H22,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_H22_s6_w19F5CD5FA-1FF8-40BC-9BC8-1A849530D011.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s4_w121C56FCA-DF43-427F-A6E8-8C8E067E26A0.tif,0,-5,0,-10,5,2160,10,2160
P015077,H22,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_H22_s8_w164AE875B-C4A2-4FAF-A477-C63669B4A19D.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_H22_s5_w10F0E6327-8686-4D4A-8CC5-5CF8C83BE45B.tif,0,-5,0,-10,5,2160,10,2160
P015077,M12,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_M12_s2_w1A82FE5E4-F08F-4F52-8F1A-A34A3E23F9AF.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_M12_s1_w1A087F8BD-D761-453C-9D99-DC16F3C2F823.tif,6,2160,0,-27,0,-6,27,2160
P015077,M12,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_M12_s4_w181E55810-1D8E-425F-A956-25527E721DEA.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_M12_s2_w14A3DD17E-A7CB-444A-8D47-5CF4FD702F90.tif,6,2160,0,-27,0,-6,27,2160
P015077,M12,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_M12_s5_w159C3ED70-C44A-4CA6-A9EB-4429F060A4AF.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_M12_s3_w16B22922B-C271-41ED-9156-BE4507B3B7A0.tif,6,2160,0,-27,0,-6,27,2160
P015077,M12,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_M12_s6_w1F7AE5A69-7549-4C0D-A56A-B9E796BC30D1.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_M12_s4_w103CD5457-6C6F-4767-BD46-4F5D8D144869.tif,6,2160,0,-26,0,-6,26,2160
P015077,M12,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_M12_s8_w1875F08CA-327C-4C40-ACB6-3ECA4DA81DA8.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_M12_s5_w1DA190D69-FBB2-4F1E-BA81-DC0454C6833D.tif,6,2160,0,-27,0,-6,27,2160
P015077,N15,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_N15_s2_w1EE5360B4-B5D3-42AF-92AD-002C2E01CD28.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_N15_s1_w1F0659054-AB48-4CE7-ACDC-F8FBCD1CF07C.tif,8,2160,0,-21,0,-8,21,2160
P015077,N15,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_N15_s4_w10355E488-F586-4A8B-AE90-117248180398.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_N15_s2_w1BCF9CF50-1309-4A83-A04C-45DD4130ED87.tif,8,2160,0,-21,0,-8,21,2160
P015077,N15,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_N15_s5_w15D2644B3-7724-4C0A-B2C4-5CF3DDD29269.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_N15_s3_w1EDB1D963-D3DE-44AC-80C0-01039ECAE0A0.tif,9,2160,0,-21,0,-9,21,2160
P015077,N15,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_N15_s6_w110479ED7-700A-4FFE-883A-40D6F0EFCF6F.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_N15_s4_w17A498551-AF1D-4CD0-AB11-D3B18797BE25.tif,9,2160,0,-21,0,-9,21,2160
P015077,N15,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_N15_s8_w132B95A1A-BEEE-4325-9A00-749B130FE497.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_N15_s5_w161FBBA15-B562-4C43-99B6-1506461D95EA.tif,9,2160,0,-21,0,-9,21,2160
P015077,O17,s2,s1,specs935-v1-FA-P015077-U2OS-48h-P1-L2_O17_s2_w1A87728BD-FC7C-40F5-BABE-2DE7AD315556.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_O17_s1_w1984950C2-DB3B-4ABB-A7D2-9E909DA006BD.tif,10,2160,0,-18,0,-10,18,2160
P015077,O17,s4,s2,specs935-v1-FA-P015077-U2OS-48h-P1-L2_O17_s4_w1AC0346C5-EF2C-4327-8347-533341EAABBC.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_O17_s2_w163293AEB-8534-4880-AC11-E9475FCE3625.tif,10,2160,0,-18,0,-10,18,2160
P015077,O17,s5,s3,specs935-v1-FA-P015077-U2OS-48h-P1-L2_O17_s5_w167F320BE-0109-40C3-B546-34CD07198E7E.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_O17_s3_w164BED578-BAF4-408C-AD4E-BB7D79973AD1.tif,10,2160,0,-18,0,-10,18,2160
P015077,O17,s6,s4,specs935-v1-FA-P015077-U2OS-48h-P1-L2_O17_s6_w1D95263CF-1DCC-47C0-9714-51075FDA1768.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_O17_s4_w18ED98D52-1FB1-4446-9598-B2F09AD51609.tif,10,2160,0,-18,0,-10,18,2160
P015077,O17,s8,s5,specs935-v1-FA-P015077-U2OS-48h-P1-L2_O17_s8_w1EE4C35E0-C403-4280-990E-EC2326371BEA.tif,specs935-v1-FA-P015077-U2OS-48h-P1-L2-TL_O17_s5_w12AA1DA26-2D45-4979-ADC5-2296683BBD6B.tif,11,2160,0,-17,0,-11,17,2160
P015082,E08,s2,s1,specs935-v1-FA-P015082-U2OS-48h-P4-L1_E08_s2_w12A6FECAA-55CE-4B08-8B33-DCC782E22D8D.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s1_w101A3B635-ADA0-4F0E-BDD4-E0570AD1B386.tif,0,-14,0,-14,14,2160,14,2160
P015082,E08,s4,s2,specs935-v1-FA-P015082-U2OS-48h-P4-L1_E08_s4_w1884B4D55-977B-496F-B42E-D45D49151D68.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s2_w1A2247158-3E58-4C6A-B597-D0E8CD0C49D2.tif,0,-14,0,-15,14,2160,15,2160
P015082,E08,s5,s3,specs935-v1-FA-P015082-U2OS-48h-P4-L1_E08_s5_w11E35F86C-A452-46B9-870F-C5C4B17188FC.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s3_w1C0C145A0-BCCF-4ED4-8A02-8FA3598DD826.tif,0,-14,0,-14,14,2160,14,2160
P015082,E08,s6,s4,specs935-v1-FA-P015082-U2OS-48h-P4-L1_E08_s6_w1A203559F-C239-467F-B8DC-4EDB74CA3E3E.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s4_w11E23D9C7-96A8-445C-BB13-3ACC57D494DB.tif,0,-15,0,-15,15,2160,15,2160
P015082,E08,s8,s5,specs935-v1-FA-P015082-U2OS-48h-P4-L1_E08_s8_w1F2B8C4FE-1B7B-4BC4-A8A8-DD33A9513016.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_E08_s5_w18D6F53AC-601B-434C-B895-D55EF16C1611.tif,0,-14,0,-14,14,2160,14,2160
P015082,L20,s2,s1,specs935-v1-FA-P015082-U2OS-48h-P4-L1_L20_s2_w1F34A23DA-73EF-4C7E-ADE3-525517332780.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_L20_s1_w18BB1D706-32A9-4FBF-BEF5-F83A872C6A13.tif,0,-1,5,2160,1,2160,0,-5
P015082,L20,s4,s2,specs935-v1-FA-P015082-U2OS-48h-P4-L1_L20_s4_w10E60C3E4-822C-4CC3-9610-CD185C9C25E7.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_L20_s2_w1B0929BA9-C475-4A02-B682-72A0895A50BE.tif,0,-1,4,2160,1,2160,0,-4
P015082,L20,s5,s3,specs935-v1-FA-P015082-U2OS-48h-P4-L1_L20_s5_w1378318B6-F4B9-4357-9C79-48E643D19A0B.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_L20_s3_w1DEBDDFFD-E066-476B-830A-AD7982698291.tif,0,-1,5,2160,1,2160,0,-5
P015082,L20,s6,s4,specs935-v1-FA-P015082-U2OS-48h-P4-L1_L20_s6_w1A4914817-E161-419D-B0EB-A66FE709734A.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_L20_s4_w14FA7F87D-A3F5-44C9-AFF5-AD03696BA3F6.tif,0,-1,5,2160,1,2160,0,-5
P015082,L20,s8,s5,specs935-v1-FA-P015082-U2OS-48h-P4-L1_L20_s8_w1B2E9094A-9AA7-4908-8CD9-08667569E110.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_L20_s5_w14C04F026-04B4-459D-B209-67B2F79AA268.tif,0,-1,4,2160,1,2160,0,-4
P015082,M05,s2,s1,specs935-v1-FA-P015082-U2OS-48h-P4-L1_M05_s2_w1B02D48DF-571D-4194-AA50-69B95C531E63.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_M05_s1_w137637C39-C152-46EF-BBDF-01B0C26B9A50.tif,0,-2,0,-17,2,2160,17,2160
P015082,M05,s4,s2,specs935-v1-FA-P015082-U2OS-48h-P4-L1_M05_s4_w100D0FD1F-ACAC-45E8-ADFA-5DCCB6154D0F.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_M05_s2_w177E39960-C465-498F-A002-E80404781BBD.tif,0,-2,0,-18,2,2160,18,2160
P015082,M05,s5,s3,specs935-v1-FA-P015082-U2OS-48h-P4-L1_M05_s5_w1374B5AE7-7D80-43E0-B94E-6E6340F09F1C.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_M05_s3_w1DE1A1442-0C45-4EBF-9133-5EC1F57ADA72.tif,0,-2,0,-17,2,2160,17,2160
P015082,M05,s6,s4,specs935-v1-FA-P015082-U2OS-48h-P4-L1_M05_s6_w10E1FB2A1-1C49-4D40-B24B-F9BDBC1D612A.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_M05_s4_w189E4C181-91F1-4BFC-9DA0-6D59D38C1BC8.tif,0,-2,0,-17,2,2160,17,2160
P015082,M05,s8,s5,specs935-v1-FA-P015082-U2OS-48h-P4-L1_M05_s8_w139216EA2-E814-401A-9298-133C056A17CD.tif,specs935-v1-FA-P015082-U2OS-48h-P4-L1-TL_M05_s5_w1E502590C-4BA1-40F4-92A2-2E060FAABD00.tif,0,-1,0,-17,1,2160,17,2160
P015083,D02,s2,s1,specs935-v1-FA-P015083-U2OS-48h-P4-L2_D02_s2_w1317743AE-E2FA-4C47-BE95-7AEC0A99E122.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_D02_s1_w1D11225D6-FAD2-4FB8-B434-B492D1223CB4.tif,0,-3,4,2160,3,2160,0,-4
P015083,D02,s4,s2,specs935-v1-FA-P015083-U2OS-48h-P4-L2_D02_s4_w1D221D252-04CE-4717-952A-280AF38FEFD3.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_D02_s2_w16D787923-8293-46D5-AC61-B21840ACC8D5.tif,0,-3,4,2160,3,2160,0,-4
P015083,D02,s5,s3,specs935-v1-FA-P015083-U2OS-48h-P4-L2_D02_s5_w1F980529F-2B90-4AD7-BDF1-F8C53D1250A8.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_D02_s3_w14BED6898-CEAD-4A49-9B16-F78026B8CB94.tif,0,2160,4,2160,0,2160,0,-4
P015083,D02,s6,s4,specs935-v1-FA-P015083-U2OS-48h-P4-L2_D02_s6_w130893778-9EBC-47D5-B9BE-42636E7FF352.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_D02_s4_w118508B59-E4DD-4FFC-B92A-E54FB071EE5C.tif,0,-3,4,2160,3,2160,0,-4
P015083,D02,s8,s5,specs935-v1-FA-P015083-U2OS-48h-P4-L2_D02_s8_w1BCFA70B9-F6CF-4BC0-98A5-CAF3D15D805D.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_D02_s5_w124A4CC5E-7779-42D2-AB35-93AC8B2C97D7.tif,0,-3,4,2160,3,2160,0,-4
P015083,N19,s2,s1,specs935-v1-FA-P015083-U2OS-48h-P4-L2_N19_s2_w136BE9D75-5F88-4010-BFD2-D2D1E7B4EA22.tif,specs935-v1-FA-P015083-U2OS-48h-P4-L2-TL_N19_s1_w1DA55FB04-1201-4D36-934B-B8145935AB24.tif,4,2160,8,2160,0,-4,0,-8
