plate,well,site,compound,path,moa
bfmoalive57-AG-48h-P3-L2,N14,s5,c37,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N14_s5_w15AB41A84-4FA8-4111-A06D-3D7470B575D4.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,B02,s3,c47,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B02_s3_w155CD688D-E965-4461-947B-F86ABA180BA8.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,B07,s3,c1,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B07_s3_w1ABCE1447-368B-4B72-9CB6-51A6A56218ED.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,D03,s3,c14,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D03_s3_w1553151AE-626C-4643-BCC2-57BC483B1A82.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,K17,s2,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K17_s2_w19D37E42D-E0A7-4A35-BAC3-5B2F5CF5B1EF.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,K06,s5,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K06_s5_w1938A6C1F-E7B1-479E-847F-74ED0FDCE4AE.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,D19,s5,c27,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D19_s5_w1AEA27F97-13E6-4EFE-860D-45F596802D3F.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L17,s4,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L17_s4_w1C76F99FB-60D7-4F77-8A24-2C1116AF9063.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,O04,s3,c48,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O04_s3_w10B15A0FD-C2FC-4C19-8F9B-88FFA6AC32D0.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,G15,s3,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G15_s3_w159164512-CD89-4E52-83B9-AF0F89A55F00.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,H22,s3,c56,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H22_s3_w122D47133-A241-4307-9670-A8F7DC5AC7E6.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,C12,s2,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C12_s2_w17E586FE9-E5D4-4D8F-9879-3142CC7BCD08.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,D02,s2,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D02_s2_w17046FA32-70BF-4201-BDCC-813F56BE18BD.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,E11,s3,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E11_s3_w111BBD997-5ABE-4FBD-BF4F-B907FBD9C0A9.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,D06,s4,c2,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D06_s4_w1810A2C18-BD69-425B-A6C0-318847251839.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,K23,s5,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K23_s5_w10446C2E4-B2E7-4AAF-822D-F5E14B2109AD.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,O09,s4,c19,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O09_s4_w1ECB849C8-52CF-49E6-96D6-05C155B811C5.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,C02,s3,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C02_s3_w19D5A06BC-7BEE-4C35-A947-BF0C8C575026.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,I04,s4,c56,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I04_s4_w1E7C243FE-8AB0-495E-AF5A-A2999ADCBC67.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,F18,s4,c56,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F18_s4_w12F2F37ED-598B-4CB0-B9B7-70FF01789003.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,N20,s5,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_N20_s5_w151C7149F-8900-4B45-B0DC-7AE24D409BCE.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,D10,s2,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D10_s2_w11CB838EA-67B5-4D4A-861C-0F69958A8080.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,C15,s3,c13,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_C15_s3_w1337418A2-281F-40CE-9F5A-84DD657DCB56.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,D19,s2,c27,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_D19_s2_w1C942E1DD-4013-4053-908E-2DF9C22E8066.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,H11,s1,c32,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H11_s1_w1FD7D0A1B-5AB8-47D7-B832-00DFEB366E91.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,I22,s3,c26,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I22_s3_w16397FBDA-EF5B-43F7-86F9-AA8CF5D5DDA4.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,K03,s1,c41,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K03_s1_w167E8E95A-9C55-428A-AC88-59B1DA2FF72D.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,E09,s5,c20,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_E09_s5_w17F3459AB-AB3D-46F0-95A0-7DD482EF1604.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,J12,s2,c16,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J12_s2_w18FCB0A88-B296-4919-9DE7-AB21F75719A5.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,G06,s2,c41,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G06_s2_w110116519-F7F3-4D7E-9F8C-003F04A76830.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,F22,s2,c34,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F22_s2_w1AC4D6941-3F49-42D5-9139-758514B2D358.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,B08,s2,c23,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B08_s2_w13E85CF5C-0776-44D2-A25B-577B26A4CC91.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,G07,s1,c49,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G07_s1_w110981ACA-EDEF-48E4-9905-6EB050D83436.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,H10,s2,c1,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H10_s2_w145E42ED4-17A9-4EC6-BA50-297DADE30DA8.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,K06,s1,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K06_s1_w1057A89C6-1E2F-4EA8-B8E8-463BF467D6D1.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,L05,s4,c54,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L05_s4_w19BB746AD-052D-494F-AC06-D90EE75ECD28.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,O04,s4,c48,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O04_s4_w134086BCB-EC3A-478E-AAB7-08B03846400B.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,G15,s4,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G15_s4_w1468F3F2F-64A8-4F24-A6B2-423CE9054652.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L17,s2,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L17_s2_w129989280-3041-49A4-BD4A-7172FB21C5B4.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,K21,s3,c33,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_K21_s3_w1AB3E1F1D-47B3-4EB2-B9FD-EEE611F61122.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,O18,s1,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O18_s1_w13C9CA6C0-FA09-4087-B13B-57CE508305F9.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,B21,s5,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_B21_s5_w13CBE154A-9439-4473-B052-4C234DC2826C.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,F17,s3,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F17_s3_w186C7379C-F9A0-4EA8-AE52-1E9560C07525.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,F17,s5,c40,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_F17_s5_w1394D7D33-D1F6-47B1-80E7-BA60249F680F.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,J07,s3,c32,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J07_s3_w129455A64-E8D1-485C-9565-5863BF5C6E09.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,G11,s1,c18,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_G11_s1_w146643794-1285-4A8E-8B9D-E7D891CC7B9D.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,O07,s2,c7,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_O07_s2_w1D71947F6-7513-4920-80EB-69BD35436F8E.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,L11,s1,c48,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_L11_s1_w1080845EE-F490-43A1-97C6-B661989C7C2D.npy,HDAC inhibitor
bfmoalive57-AG-48h-P3-L2,H13,s4,c51,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_H13_s4_w11F663BD2-5921-48BF-B403-9BD8F52EB96D.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,I04,s1,c56,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I04_s1_w134703290-3803-451B-B8DC-378A22FE16FF.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,I16,s2,c18,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_I16_s2_w15D98E176-1683-4D30-837D-0E6B04F7C935.npy,PARP inhibitor
bfmoalive57-AG-48h-P3-L2,J10,s5,c43,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_J10_s5_w128A7926A-E242-4B50-A017-5D69C5069C85.npy,protein synthesis inhibitor
bfmoalive57-AG-48h-P3-L2,M09,s5,c10,/scratch2-shared/phil/bf_moa_live/AG-48h-P3-L2_final_time_point/numpy_data/bf/bfmoalive57-AG-48h-P3-L2_M09_s5_w130F1493D-7A3E-4AAC-8C83-47FE7BF68C20.npy,protein synthesis inhibitor
